# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.172E+02  1.716E+01    3251 A      3095 A      2400 A   
  11.00 keV   1.233E+02  1.674E+01    3562 A      3289 A      2563 A   
  12.00 keV   1.291E+02  1.634E+01    3872 A      3474 A      2719 A   
  13.00 keV   1.348E+02  1.596E+01    4181 A      3651 A      2870 A   
  14.00 keV   1.403E+02  1.560E+01    4488 A      3821 A      3016 A   
  15.00 keV   1.457E+02  1.526E+01    4794 A      3984 A      3158 A   
  16.00 keV   1.509E+02  1.493E+01    5099 A      4140 A      3295 A   
  17.00 keV   1.560E+02  1.462E+01    5401 A      4291 A      3429 A   
  18.00 keV   1.609E+02  1.432E+01    5702 A      4436 A      3559 A   
  20.00 keV   1.706E+02  1.376E+01    6300 A      4709 A      3809 A   
  22.50 keV   1.820E+02  1.313E+01    7036 A      5026 A      4104 A   
  25.00 keV   1.930E+02  1.257E+01    7761 A      5319 A      4382 A   
  27.50 keV   2.035E+02  1.206E+01    8475 A      5591 A      4643 A   
  30.00 keV   2.137E+02  1.160E+01    9178 A      5844 A      4892 A   
  32.50 keV   2.235E+02  1.117E+01    9869 A      6080 A      5127 A   
  35.00 keV   2.330E+02  1.078E+01    1.06 um     6301 A      5352 A   
  37.50 keV   2.422E+02  1.043E+01    1.12 um     6509 A      5566 A   
  40.00 keV   2.511E+02  1.010E+01    1.19 um     6705 A      5771 A   
  45.00 keV   2.683E+02  9.502E+00    1.32 um     7064 A      6156 A   
  50.00 keV   2.846E+02  8.986E+00    1.44 um     7387 A      6511 A   
  55.00 keV   3.003E+02  8.531E+00    1.57 um     7679 A      6841 A   
  60.00 keV   3.152E+02  8.127E+00    1.68 um     7946 A      7148 A   
  65.00 keV   3.297E+02  7.765E+00    1.80 um     8190 A      7436 A   
  70.00 keV   3.435E+02  7.439E+00    1.91 um     8414 A      7706 A   
  80.00 keV   3.699E+02  6.874E+00    2.13 um     8815 A      8203 A   
  90.00 keV   3.945E+02  6.399E+00    2.34 um     9163 A      8648 A   
 100.00 keV   4.178E+02  5.994E+00    2.54 um     9469 A      9052 A   
 110.00 keV   4.397E+02  5.645E+00    2.74 um     9741 A      9422 A   
 120.00 keV   4.604E+02  5.338E+00    2.93 um     9985 A      9762 A   
 130.00 keV   4.801E+02  5.068E+00    3.11 um     1.02 um     1.01 um  
 140.00 keV   4.988E+02  4.827E+00    3.29 um     1.04 um     1.04 um  
 150.00 keV   5.166E+02  4.611E+00    3.46 um     1.06 um     1.06 um  
 160.00 keV   5.336E+02  4.416E+00    3.63 um     1.08 um     1.09 um  
 170.00 keV   5.497E+02  4.239E+00    3.79 um     1.09 um     1.11 um  
 180.00 keV   5.651E+02  4.077E+00    3.95 um     1.11 um     1.14 um  
 200.00 keV   5.938E+02  3.792E+00    4.26 um     1.13 um     1.18 um  
 225.00 keV   6.262E+02  3.493E+00    4.64 um     1.16 um     1.23 um  
 250.00 keV   6.551E+02  3.243E+00    5.00 um     1.19 um     1.27 um  
 275.00 keV   6.808E+02  3.030E+00    5.35 um     1.21 um     1.31 um  
 300.00 keV   7.037E+02  2.846E+00    5.68 um     1.23 um     1.34 um  
 325.00 keV   7.241E+02  2.685E+00    6.01 um     1.25 um     1.38 um  
 350.00 keV   7.422E+02  2.544E+00    6.34 um     1.26 um     1.41 um  
 375.00 keV   7.582E+02  2.418E+00    6.65 um     1.28 um     1.44 um  
 400.00 keV   7.722E+02  2.305E+00    6.96 um     1.29 um     1.47 um  
 450.00 keV   7.953E+02  2.111E+00    7.57 um     1.32 um     1.52 um  
 500.00 keV   8.126E+02  1.950E+00    8.17 um     1.34 um     1.56 um  
 550.00 keV   8.251E+02  1.814E+00    8.76 um     1.37 um     1.61 um  
 600.00 keV   8.335E+02  1.698E+00    9.35 um     1.39 um     1.65 um  
 650.00 keV   8.385E+02  1.597E+00    9.93 um     1.41 um     1.69 um  
 700.00 keV   8.407E+02  1.508E+00   10.51 um     1.43 um     1.73 um  
 800.00 keV   8.386E+02  1.359E+00   11.67 um     1.46 um     1.80 um  
 900.00 keV   8.301E+02  1.240E+00   12.84 um     1.50 um     1.87 um  
   1.00 MeV   8.173E+02  1.141E+00   14.03 um     1.53 um     1.93 um  
   1.10 MeV   8.018E+02  1.058E+00   15.25 um     1.57 um     2.00 um  
   1.20 MeV   7.845E+02  9.873E-01   16.49 um     1.60 um     2.06 um  
   1.30 MeV   7.664E+02  9.262E-01   17.76 um     1.63 um     2.13 um  
   1.40 MeV   7.478E+02  8.727E-01   19.06 um     1.67 um     2.19 um  
   1.50 MeV   7.291E+02  8.256E-01   20.40 um     1.70 um     2.25 um  
   1.60 MeV   7.108E+02  7.836E-01   21.77 um     1.74 um     2.32 um  
   1.70 MeV   6.928E+02  7.461E-01   23.18 um     1.77 um     2.39 um  
   1.80 MeV   6.753E+02  7.123E-01   24.62 um     1.81 um     2.45 um  
   2.00 MeV   6.422E+02  6.537E-01   27.63 um     1.90 um     2.59 um  
   2.25 MeV   6.045E+02  5.936E-01   31.60 um     2.04 um     2.77 um  
   2.50 MeV   5.708E+02  5.444E-01   35.82 um     2.19 um     2.96 um  
   2.75 MeV   5.407E+02  5.032E-01   40.28 um     2.34 um     3.16 um  
   3.00 MeV   5.140E+02  4.682E-01   44.98 um     2.49 um     3.37 um  
   3.25 MeV   4.902E+02  4.381E-01   49.92 um     2.65 um     3.59 um  
   3.50 MeV   4.689E+02  4.119E-01   55.10 um     2.82 um     3.82 um  
   3.75 MeV   4.498E+02  3.888E-01   60.50 um     2.99 um     4.07 um  
   4.00 MeV   4.326E+02  3.684E-01   66.13 um     3.17 um     4.32 um  
   4.50 MeV   4.030E+02  3.337E-01   78.03 um     3.73 um     4.85 um  
   5.00 MeV   3.785E+02  3.054E-01   90.75 um     4.28 um     5.42 um  
   5.50 MeV   3.580E+02  2.818E-01  104.25 um     4.83 um     6.02 um  
   6.00 MeV   3.405E+02  2.618E-01  118.49 um     5.39 um     6.65 um  
   6.50 MeV   3.254E+02  2.446E-01  133.42 um     5.94 um     7.31 um  
   7.00 MeV   3.122E+02  2.296E-01  149.02 um     6.50 um     8.00 um  
   8.00 MeV   2.904E+02  2.049E-01  182.06 um     8.29 um     9.44 um  
   9.00 MeV   2.714E+02  1.853E-01  217.50 um     9.98 um    10.98 um  
  10.00 MeV   2.536E+02  1.693E-01  255.43 um    11.63 um    12.60 um  
