# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.702E+01  7.689E+00    4379 A      6560 A      4868 A   
  11.00 keV   4.960E+01  7.616E+00    4795 A      6994 A      5200 A   
  12.00 keV   5.208E+01  7.538E+00    5212 A      7412 A      5524 A   
  13.00 keV   5.447E+01  7.457E+00    5629 A      7818 A      5838 A   
  14.00 keV   5.678E+01  7.375E+00    6048 A      8211 A      6144 A   
  15.00 keV   5.903E+01  7.292E+00    6467 A      8593 A      6443 A   
  16.00 keV   6.121E+01  7.209E+00    6887 A      8964 A      6735 A   
  17.00 keV   6.334E+01  7.127E+00    7308 A      9325 A      7021 A   
  18.00 keV   6.541E+01  7.045E+00    7729 A      9677 A      7301 A   
  20.00 keV   6.942E+01  6.885E+00    8575 A      1.04 um     7848 A   
  22.50 keV   7.420E+01  6.693E+00    9634 A      1.12 um     8503 A   
  25.00 keV   7.875E+01  6.510E+00    1.07 um     1.19 um     9129 A   
  27.50 keV   8.311E+01  6.336E+00    1.18 um     1.26 um     9730 A   
  30.00 keV   8.730E+01  6.172E+00    1.28 um     1.33 um     1.03 um  
  32.50 keV   9.134E+01  6.017E+00    1.39 um     1.40 um     1.09 um  
  35.00 keV   9.524E+01  5.870E+00    1.49 um     1.46 um     1.14 um  
  37.50 keV   9.901E+01  5.731E+00    1.60 um     1.52 um     1.19 um  
  40.00 keV   1.027E+02  5.599E+00    1.70 um     1.58 um     1.24 um  
  45.00 keV   1.097E+02  5.355E+00    1.91 um     1.69 um     1.34 um  
  50.00 keV   1.163E+02  5.135E+00    2.12 um     1.79 um     1.43 um  
  55.00 keV   1.225E+02  4.935E+00    2.32 um     1.89 um     1.52 um  
  60.00 keV   1.285E+02  4.752E+00    2.53 um     1.98 um     1.61 um  
  65.00 keV   1.342E+02  4.585E+00    2.73 um     2.06 um     1.69 um  
  70.00 keV   1.396E+02  4.431E+00    2.93 um     2.14 um     1.76 um  
  80.00 keV   1.496E+02  4.157E+00    3.32 um     2.29 um     1.91 um  
  90.00 keV   1.588E+02  3.920E+00    3.71 um     2.43 um     2.05 um  
 100.00 keV   1.673E+02  3.713E+00    4.09 um     2.55 um     2.17 um  
 110.00 keV   1.750E+02  3.529E+00    4.47 um     2.66 um     2.29 um  
 120.00 keV   1.822E+02  3.366E+00    4.84 um     2.77 um     2.41 um  
 130.00 keV   1.888E+02  3.220E+00    5.21 um     2.87 um     2.52 um  
 140.00 keV   1.950E+02  3.088E+00    5.58 um     2.96 um     2.62 um  
 150.00 keV   2.008E+02  2.968E+00    5.94 um     3.05 um     2.72 um  
 160.00 keV   2.063E+02  2.858E+00    6.29 um     3.13 um     2.82 um  
 170.00 keV   2.115E+02  2.757E+00    6.64 um     3.21 um     2.91 um  
 180.00 keV   2.165E+02  2.664E+00    6.99 um     3.28 um     3.00 um  
 200.00 keV   2.258E+02  2.499E+00    7.68 um     3.42 um     3.17 um  
 225.00 keV   2.364E+02  2.322E+00    8.52 um     3.58 um     3.37 um  
 250.00 keV   2.462E+02  2.172E+00    9.35 um     3.72 um     3.55 um  
 275.00 keV   2.552E+02  2.043E+00   10.16 um     3.85 um     3.73 um  
 300.00 keV   2.635E+02  1.930E+00   10.96 um     3.97 um     3.89 um  
 325.00 keV   2.713E+02  1.831E+00   11.74 um     4.08 um     4.04 um  
 350.00 keV   2.785E+02  1.742E+00   12.51 um     4.18 um     4.19 um  
 375.00 keV   2.851E+02  1.663E+00   13.26 um     4.28 um     4.33 um  
 400.00 keV   2.913E+02  1.591E+00   14.01 um     4.37 um     4.46 um  
 450.00 keV   3.023E+02  1.467E+00   15.48 um     4.53 um     4.71 um  
 500.00 keV   3.118E+02  1.363E+00   16.92 um     4.68 um     4.95 um  
 550.00 keV   3.199E+02  1.275E+00   18.34 um     4.82 um     5.17 um  
 600.00 keV   3.269E+02  1.198E+00   19.73 um     4.95 um     5.37 um  
 650.00 keV   3.327E+02  1.131E+00   21.11 um     5.07 um     5.57 um  
 700.00 keV   3.377E+02  1.072E+00   22.47 um     5.18 um     5.76 um  
 800.00 keV   3.454E+02  9.722E-01   25.17 um     5.38 um     6.11 um  
 900.00 keV   3.505E+02  8.911E-01   27.85 um     5.57 um     6.44 um  
   1.00 MeV   3.537E+02  8.237E-01   30.51 um     5.74 um     6.75 um  
   1.10 MeV   3.553E+02  7.667E-01   33.17 um     5.91 um     7.05 um  
   1.20 MeV   3.558E+02  7.178E-01   35.83 um     6.06 um     7.34 um  
   1.30 MeV   3.553E+02  6.753E-01   38.50 um     6.21 um     7.61 um  
   1.40 MeV   3.540E+02  6.380E-01   41.19 um     6.35 um     7.89 um  
   1.50 MeV   3.522E+02  6.050E-01   43.90 um     6.48 um     8.15 um  
   1.60 MeV   3.498E+02  5.756E-01   46.63 um     6.61 um     8.41 um  
   1.70 MeV   3.472E+02  5.491E-01   49.39 um     6.74 um     8.67 um  
   1.80 MeV   3.442E+02  5.252E-01   52.17 um     6.87 um     8.93 um  
   2.00 MeV   3.378E+02  4.836E-01   57.83 um     7.14 um     9.44 um  
   2.25 MeV   3.290E+02  4.407E-01   65.09 um     7.48 um    10.06 um  
