#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.548E+01  1.479E+01    3763 A      4619 A      3487 A   
  11.00 keV   6.908E+01  1.449E+01    4139 A      4937 A      3739 A   
  12.00 keV   7.215E+01  1.420E+01    4518 A      5244 A      3984 A   
  13.00 keV   7.458E+01  1.392E+01    4901 A      5543 A      4224 A   
  14.00 keV   7.639E+01  1.365E+01    5290 A      5837 A      4461 A   
  15.00 keV   7.770E+01  1.339E+01    5685 A      6127 A      4697 A   
  16.00 keV   7.887E+01  1.313E+01    6088 A      6414 A      4932 A   
  17.00 keV   8.030E+01  1.289E+01    6495 A      6699 A      5166 A   
  18.00 keV   8.232E+01  1.266E+01    6906 A      6979 A      5399 A   
  20.00 keV   8.832E+01  1.222E+01    7722 A      7514 A      5854 A   
  22.50 keV   9.798E+01  1.172E+01    8716 A      8134 A      6388 A   
  25.00 keV   1.081E+02  1.127E+01    9676 A      8699 A      6878 A   
  27.50 keV   1.179E+02  1.085E+01    1.06 um     9212 A      7330 A   
  30.00 keV   1.271E+02  1.047E+01    1.15 um     9681 A      7750 A   
  32.50 keV   1.360E+02  1.012E+01    1.24 um     1.01 um     8141 A   
  35.00 keV   1.444E+02  9.792E+00    1.33 um     1.05 um     8508 A   
  37.50 keV   1.526E+02  9.491E+00    1.41 um     1.09 um     8855 A   
  40.00 keV   1.605E+02  9.211E+00    1.50 um     1.12 um     9183 A   
  45.00 keV   1.756E+02  8.705E+00    1.66 um     1.19 um     9792 A   
  50.00 keV   1.899E+02  8.261E+00    1.82 um     1.24 um     1.03 um  
  55.00 keV   2.037E+02  7.867E+00    1.97 um     1.29 um     1.09 um  
  60.00 keV   2.169E+02  7.514E+00    2.12 um     1.34 um     1.13 um  
  65.00 keV   2.296E+02  7.197E+00    2.27 um     1.38 um     1.18 um  
  70.00 keV   2.419E+02  6.910E+00    2.41 um     1.41 um     1.22 um  
  80.00 keV   2.653E+02  6.409E+00    2.68 um     1.48 um     1.29 um  
  90.00 keV   2.873E+02  5.985E+00    2.94 um     1.54 um     1.36 um  
 100.00 keV   3.081E+02  5.622E+00    3.19 um     1.59 um     1.42 um  
 110.00 keV   3.277E+02  5.306E+00    3.44 um     1.63 um     1.47 um  
 120.00 keV   3.463E+02  5.029E+00    3.67 um     1.67 um     1.52 um  
 130.00 keV   3.639E+02  4.783E+00    3.89 um     1.70 um     1.57 um  
 140.00 keV   3.806E+02  4.563E+00    4.11 um     1.73 um     1.61 um  
 150.00 keV   3.964E+02  4.365E+00    4.32 um     1.76 um     1.65 um  
 160.00 keV   4.115E+02  4.186E+00    4.53 um     1.79 um     1.68 um  
 170.00 keV   4.258E+02  4.023E+00    4.73 um     1.81 um     1.72 um  
 180.00 keV   4.394E+02  3.874E+00    4.93 um     1.84 um     1.75 um  
 200.00 keV   4.645E+02  3.611E+00    5.31 um     1.88 um     1.81 um  
 225.00 keV   4.926E+02  3.333E+00    5.77 um     1.92 um     1.88 um  
 250.00 keV   5.172E+02  3.100E+00    6.21 um     1.96 um     1.94 um  
