# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.503E+01  6.162E+00    4448 A      6301 A      4694 A   
  11.00 keV   5.789E+01  6.120E+00    4853 A      6698 A      5000 A   
  12.00 keV   6.065E+01  6.073E+00    5258 A      7080 A      5297 A   
  13.00 keV   6.332E+01  6.022E+00    5663 A      7449 A      5585 A   
  14.00 keV   6.591E+01  5.969E+00    6067 A      7806 A      5866 A   
  15.00 keV   6.842E+01  5.915E+00    6470 A      8152 A      6139 A   
  16.00 keV   7.086E+01  5.859E+00    6874 A      8489 A      6406 A   
  17.00 keV   7.325E+01  5.803E+00    7277 A      8816 A      6666 A   
  18.00 keV   7.557E+01  5.747E+00    7679 A      9134 A      6921 A   
  20.00 keV   8.008E+01  5.635E+00    8484 A      9742 A      7417 A   
  22.50 keV   8.547E+01  5.498E+00    9488 A      1.05 um     8010 A   
  25.00 keV   9.063E+01  5.365E+00    1.05 um     1.11 um     8575 A   
  27.50 keV   9.559E+01  5.238E+00    1.15 um     1.18 um     9115 A   
  30.00 keV   1.004E+02  5.116E+00    1.25 um     1.24 um     9634 A   
  32.50 keV   1.050E+02  5.000E+00    1.35 um     1.30 um     1.01 um  
  35.00 keV   1.095E+02  4.889E+00    1.44 um     1.36 um     1.06 um  
  37.50 keV   1.139E+02  4.783E+00    1.54 um     1.41 um     1.11 um  
  40.00 keV   1.182E+02  4.682E+00    1.64 um     1.46 um     1.15 um  
  45.00 keV   1.264E+02  4.494E+00    1.83 um     1.56 um     1.24 um  
  50.00 keV   1.343E+02  4.323E+00    2.02 um     1.65 um     1.32 um  
  55.00 keV   1.418E+02  4.166E+00    2.20 um     1.73 um     1.40 um  
  60.00 keV   1.491E+02  4.021E+00    2.39 um     1.81 um     1.47 um  
  65.00 keV   1.562E+02  3.888E+00    2.57 um     1.88 um     1.54 um  
  70.00 keV   1.630E+02  3.765E+00    2.75 um     1.95 um     1.61 um  
  80.00 keV   1.760E+02  3.544E+00    3.10 um     2.07 um     1.73 um  
  90.00 keV   1.883E+02  3.352E+00    3.44 um     2.18 um     1.84 um  
 100.00 keV   1.999E+02  3.183E+00    3.78 um     2.28 um     1.95 um  
 110.00 keV   2.110E+02  3.033E+00    4.10 um     2.38 um     2.05 um  
 120.00 keV   2.215E+02  2.898E+00    4.42 um     2.46 um     2.14 um  
 130.00 keV   2.316E+02  2.777E+00    4.73 um     2.54 um     2.23 um  
 140.00 keV   2.411E+02  2.667E+00    5.04 um     2.61 um     2.31 um  
 150.00 keV   2.503E+02  2.567E+00    5.34 um     2.68 um     2.38 um  
 160.00 keV   2.590E+02  2.475E+00    5.63 um     2.74 um     2.46 um  
 170.00 keV   2.674E+02  2.391E+00    5.92 um     2.80 um     2.53 um  
 180.00 keV   2.754E+02  2.313E+00    6.20 um     2.85 um     2.59 um  
 200.00 keV   2.903E+02  2.174E+00    6.75 um     2.95 um     2.72 um  
 225.00 keV   3.073E+02  2.025E+00    7.42 um     3.06 um     2.86 um  
 250.00 keV   3.224E+02  1.897E+00    8.07 um     3.16 um     3.00 um  
 275.00 keV   3.360E+02  1.787E+00    8.71 um     3.25 um     3.12 um  
 300.00 keV   3.481E+02  1.691E+00    9.32 um     3.33 um     3.23 um  
 325.00 keV   3.588E+02  1.606E+00    9.93 um     3.41 um     3.34 um  
 350.00 keV   3.684E+02  1.530E+00   10.52 um     3.48 um     3.44 um  
 375.00 keV   3.769E+02  1.461E+00   11.11 um     3.54 um     3.54 um  
 400.00 keV   3.844E+02  1.400E+00   11.69 um     3.60 um     3.63 um  
 450.00 keV   3.969E+02  1.293E+00   12.83 um     3.71 um     3.80 um  
 500.00 keV   4.064E+02  1.203E+00   13.95 um     3.81 um     3.96 um  
 550.00 keV   4.134E+02  1.126E+00   15.06 um     3.91 um     4.11 um  
 600.00 keV   4.185E+02  1.059E+00   16.16 um     3.99 um     4.25 um  
 650.00 keV   4.219E+02  1.001E+00   17.25 um     4.07 um     4.39 um  
 700.00 keV   4.240E+02  9.494E-01   18.35 um     4.15 um     4.53 um  
 800.00 keV   4.251E+02  8.623E-01   20.55 um     4.30 um     4.78 um  
 900.00 keV   4.231E+02  7.913E-01   22.76 um     4.43 um     5.03 um  
   1.00 MeV   4.192E+02  7.322E-01   25.01 um     4.56 um     5.26 um  
   1.10 MeV   4.139E+02  6.822E-01   27.29 um     4.69 um     5.50 um  
   1.20 MeV   4.079E+02  6.392E-01   29.61 um     4.81 um     5.73 um  
   1.30 MeV   4.014E+02  6.018E-01   31.98 um     4.93 um     5.96 um  
   1.40 MeV   3.946E+02  5.689E-01   34.39 um     5.04 um     6.19 um  
   1.50 MeV   3.877E+02  5.398E-01   36.84 um     5.16 um     6.42 um  
   1.60 MeV   3.808E+02  5.138E-01   39.35 um     5.28 um     6.64 um  
   1.70 MeV   3.740E+02  4.904E-01   41.91 um     5.39 um     6.88 um  
   1.80 MeV   3.673E+02  4.692E-01   44.51 um     5.50 um     7.11 um  
   2.00 MeV   3.544E+02  4.324E-01   49.88 um     5.76 um     7.58 um  
   2.25 MeV   3.394E+02  3.944E-01   56.88 um     6.09 um     8.18 um  
   2.50 MeV   3.257E+02  3.631E-01   64.19 um     6.43 um     8.79 um  
   2.75 MeV   3.131E+02  3.367E-01   71.82 um     6.78 um     9.43 um  
   3.00 MeV   3.017E+02  3.142E-01   79.76 um     7.13 um    10.08 um  
   3.25 MeV   2.911E+02  2.948E-01   88.00 um     7.49 um    10.75 um  
   3.50 MeV   2.815E+02  2.778E-01   96.53 um     7.86 um    11.44 um  
   3.75 MeV   2.726E+02  2.628E-01  105.37 um     8.23 um    12.14 um  
   4.00 MeV   2.644E+02  2.495E-01  114.48 um     8.62 um    12.86 um  
   4.50 MeV   2.498E+02  2.268E-01  133.56 um     9.58 um    14.36 um  
   5.00 MeV   2.372E+02  2.082E-01  153.72 um    10.57 um    15.93 um  
   5.50 MeV   2.261E+02  1.926E-01  174.93 um    11.56 um    17.55 um  
   6.00 MeV   2.163E+02  1.793E-01  197.15 um    12.58 um    19.24 um  
   6.50 MeV   2.076E+02  1.679E-01  220.36 um    13.61 um    20.99 um  
   7.00 MeV   1.998E+02  1.579E-01  244.52 um    14.66 um    22.80 um  
   8.00 MeV   1.863E+02  1.414E-01  295.58 um    17.54 um    26.56 um  
   9.00 MeV   1.729E+02  1.282E-01  350.51 um    20.41 um    30.56 um  
  10.00 MeV   1.612E+02  1.174E-01  409.59 um    23.33 um    34.81 um  
