# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.258E+01  1.495E+01    3695 A      4364 A      3307 A   
  11.00 keV   7.720E+01  1.464E+01    4058 A      4656 A      3540 A   
  12.00 keV   8.170E+01  1.434E+01    4420 A      4935 A      3765 A   
  13.00 keV   8.608E+01  1.405E+01    4782 A      5201 A      3981 A   
  14.00 keV   9.035E+01  1.378E+01    5142 A      5457 A      4190 A   
  15.00 keV   9.452E+01  1.351E+01    5502 A      5702 A      4393 A   
  16.00 keV   9.861E+01  1.325E+01    5860 A      5938 A      4589 A   
  17.00 keV   1.026E+02  1.300E+01    6217 A      6165 A      4779 A   
  18.00 keV   1.065E+02  1.277E+01    6572 A      6383 A      4964 A   
  20.00 keV   1.142E+02  1.232E+01    7279 A      6795 A      5320 A   
  22.50 keV   1.234E+02  1.181E+01    8155 A      7272 A      5739 A   
  25.00 keV   1.323E+02  1.134E+01    9018 A      7714 A      6132 A   
  27.50 keV   1.409E+02  1.092E+01    9871 A      8124 A      6503 A   
  30.00 keV   1.493E+02  1.053E+01    1.07 um     8507 A      6854 A   
  32.50 keV   1.574E+02  1.017E+01    1.15 um     8864 A      7187 A   
  35.00 keV   1.653E+02  9.842E+00    1.24 um     9198 A      7504 A   
  37.50 keV   1.730E+02  9.536E+00    1.32 um     9512 A      7805 A   
  40.00 keV   1.806E+02  9.252E+00    1.40 um     9808 A      8094 A   
  45.00 keV   1.952E+02  8.740E+00    1.55 um     1.03 um     8636 A   
  50.00 keV   2.091E+02  8.290E+00    1.70 um     1.08 um     9135 A   
  55.00 keV   2.226E+02  7.892E+00    1.85 um     1.13 um     9597 A   
  60.00 keV   2.355E+02  7.536E+00    1.99 um     1.17 um     1.00 um  
  65.00 keV   2.481E+02  7.216E+00    2.13 um     1.20 um     1.04 um  
  70.00 keV   2.602E+02  6.926E+00    2.27 um     1.24 um     1.08 um  
  80.00 keV   2.833E+02  6.421E+00    2.53 um     1.30 um     1.15 um  
  90.00 keV   3.050E+02  5.994E+00    2.78 um     1.35 um     1.21 um  
 100.00 keV   3.255E+02  5.628E+00    3.03 um     1.40 um     1.27 um  
 110.00 keV   3.449E+02  5.311E+00    3.26 um     1.44 um     1.32 um  
 120.00 keV   3.632E+02  5.032E+00    3.49 um     1.47 um     1.37 um  
 130.00 keV   3.806E+02  4.785E+00    3.70 um     1.50 um     1.41 um  
 140.00 keV   3.971E+02  4.564E+00    3.92 um     1.53 um     1.45 um  
 150.00 keV   4.128E+02  4.365E+00    4.12 um     1.56 um     1.49 um  
 160.00 keV   4.277E+02  4.186E+00    4.32 um     1.59 um     1.52 um  
 170.00 keV   4.418E+02  4.022E+00    4.52 um     1.61 um     1.56 um  
 180.00 keV   4.552E+02  3.872E+00    4.71 um     1.63 um     1.59 um  
 200.00 keV   4.801E+02  3.608E+00    5.08 um     1.67 um     1.65 um  
 225.00 keV   5.080E+02  3.330E+00    5.53 um     1.71 um     1.71 um  
 250.00 keV   5.324E+02  3.097E+00    5.96 um     1.75 um     1.77 um  
 275.00 keV   5.540E+02  2.897E+00    6.38 um     1.78 um     1.82 um  
 300.00 keV   5.730E+02  2.725E+00    6.79 um     1.81 um     1.87 um  
 325.00 keV   5.896E+02  2.574E+00    7.18 um     1.84 um     1.92 um  
 350.00 keV   6.041E+02  2.440E+00    7.57 um     1.86 um     1.96 um  
 375.00 keV   6.168E+02  2.322E+00    7.95 um     1.88 um     2.00 um  
 400.00 keV   6.278E+02  2.215E+00    8.33 um     1.90 um     2.04 um  
 450.00 keV   6.456E+02  2.032E+00    9.07 um     1.94 um     2.12 um  
 500.00 keV   6.585E+02  1.879E+00    9.80 um     1.98 um     2.18 um  
 550.00 keV   6.675E+02  1.750E+00   10.52 um     2.01 um     2.25 um  
 600.00 keV   6.735E+02  1.639E+00   11.23 um     2.04 um     2.30 um  
 650.00 keV   6.769E+02  1.543E+00   11.94 um     2.07 um     2.36 um  
 700.00 keV   6.782E+02  1.458E+00   12.65 um     2.09 um     2.42 um  
 800.00 keV   6.764E+02  1.316E+00   14.08 um     2.15 um     2.52 um  
 900.00 keV   6.702E+02  1.202E+00   15.52 um     2.20 um     2.62 um  
   1.00 MeV   6.613E+02  1.107E+00   16.98 um     2.25 um     2.72 um  
   1.10 MeV   6.507E+02  1.028E+00   18.47 um     2.29 um     2.81 um  
   1.20 MeV   6.391E+02  9.595E-01   19.99 um     2.34 um     2.90 um  
   1.30 MeV   6.270E+02  9.006E-01   21.54 um     2.39 um     3.00 um  
   1.40 MeV   6.146E+02  8.491E-01   23.12 um     2.43 um     3.09 um  
   1.50 MeV   6.023E+02  8.037E-01   24.73 um     2.48 um     3.18 um  
   1.60 MeV   5.901E+02  7.632E-01   26.38 um     2.52 um     3.28 um  
   1.70 MeV   5.782E+02  7.270E-01   28.06 um     2.57 um     3.37 um  
   1.80 MeV   5.666E+02  6.943E-01   29.78 um     2.61 um     3.47 um  
   2.00 MeV   5.444E+02  6.377E-01   33.33 um     2.73 um     3.66 um  
   2.25 MeV   5.188E+02  5.795E-01   37.97 um     2.89 um     3.91 um  
   2.50 MeV   4.955E+02  5.318E-01   42.84 um     3.06 um     4.17 um  
   2.75 MeV   4.743E+02  4.919E-01   47.93 um     3.23 um     4.44 um  
   3.00 MeV   4.550E+02  4.579E-01   53.26 um     3.40 um     4.71 um  
   3.25 MeV   4.375E+02  4.287E-01   58.80 um     3.59 um     5.00 um  
   3.50 MeV   4.214E+02  4.032E-01   64.56 um     3.77 um     5.30 um  
   3.75 MeV   4.066E+02  3.808E-01   70.54 um     3.96 um     5.60 um  
   4.00 MeV   3.930E+02  3.609E-01   76.74 um     4.15 um     5.92 um  
   4.50 MeV   3.689E+02  3.271E-01   89.75 um     4.74 um     6.58 um  
   5.00 MeV   3.480E+02  2.995E-01  103.59 um     5.32 um     7.28 um  
   5.50 MeV   3.299E+02  2.765E-01  118.23 um     5.91 um     8.01 um  
   6.00 MeV   3.139E+02  2.570E-01  133.65 um     6.50 um     8.78 um  
   6.50 MeV   2.997E+02  2.402E-01  149.83 um     7.10 um     9.58 um  
   7.00 MeV   2.869E+02  2.256E-01  166.76 um     7.72 um    10.42 um  
   8.00 MeV   2.651E+02  2.014E-01  202.77 um     9.65 um    12.18 um  
   9.00 MeV   2.490E+02  1.822E-01  241.44 um    11.50 um    14.05 um  
  10.00 MeV   2.336E+02  1.665E-01  282.65 um    13.31 um    16.03 um  
