# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.907E+02  4.112E+01    2604 A      1691 A      1378 A   
  11.00 keV   2.022E+02  3.947E+01    2858 A      1796 A      1476 A   
  12.00 keV   2.135E+02  3.796E+01    3108 A      1894 A      1569 A   
  13.00 keV   2.247E+02  3.659E+01    3354 A      1987 A      1658 A   
  14.00 keV   2.358E+02  3.533E+01    3596 A      2074 A      1742 A   
  15.00 keV   2.468E+02  3.417E+01    3834 A      2155 A      1823 A   
  16.00 keV   2.577E+02  3.309E+01    4068 A      2232 A      1901 A   
  17.00 keV   2.684E+02  3.209E+01    4299 A      2305 A      1975 A   
  18.00 keV   2.791E+02  3.116E+01    4525 A      2373 A      2046 A   
  20.00 keV   3.002E+02  2.948E+01    4967 A      2499 A      2179 A   
  22.50 keV   3.260E+02  2.766E+01    5499 A      2639 A      2332 A   
  25.00 keV   3.514E+02  2.608E+01    6010 A      2762 A      2470 A   
  27.50 keV   3.764E+02  2.469E+01    6501 A      2872 A      2597 A   
  30.00 keV   4.009E+02  2.347E+01    6973 A      2970 A      2712 A   
  32.50 keV   4.251E+02  2.238E+01    7428 A      3058 A      2819 A   
  35.00 keV   4.489E+02  2.140E+01    7866 A      3138 A      2918 A   
  37.50 keV   4.724E+02  2.052E+01    8290 A      3210 A      3009 A   
  40.00 keV   4.955E+02  1.971E+01    8700 A      3276 A      3094 A   
  45.00 keV   5.407E+02  1.830E+01    9482 A      3391 A      3247 A   
  50.00 keV   5.847E+02  1.711E+01    1.02 um     3490 A      3382 A   
  55.00 keV   6.274E+02  1.608E+01    1.09 um     3574 A      3502 A   
  60.00 keV   6.689E+02  1.518E+01    1.16 um     3648 A      3609 A   
  65.00 keV   7.092E+02  1.439E+01    1.22 um     3712 A      3706 A   
  70.00 keV   7.483E+02  1.369E+01    1.28 um     3769 A      3794 A   
  80.00 keV   8.230E+02  1.249E+01    1.39 um     3867 A      3948 A   
  90.00 keV   8.932E+02  1.151E+01    1.50 um     3946 A      4078 A   
 100.00 keV   9.590E+02  1.069E+01    1.60 um     4013 A      4191 A   
 110.00 keV   1.021E+03  9.987E+00    1.69 um     4069 A      4291 A   
 120.00 keV   1.078E+03  9.382E+00    1.78 um     4118 A      4379 A   
 130.00 keV   1.132E+03  8.854E+00    1.87 um     4161 A      4458 A   
 140.00 keV   1.182E+03  8.388E+00    1.95 um     4199 A      4529 A   
 150.00 keV   1.229E+03  7.974E+00    2.03 um     4232 A      4595 A   
 160.00 keV   1.272E+03  7.603E+00    2.10 um     4263 A      4655 A   
 170.00 keV   1.312E+03  7.269E+00    2.18 um     4290 A      4710 A   
 180.00 keV   1.349E+03  6.965E+00    2.25 um     4315 A      4762 A   
 200.00 keV   1.415E+03  6.435E+00    2.39 um     4362 A      4856 A   
 225.00 keV   1.484E+03  5.886E+00    2.56 um     4413 A      4959 A   
 250.00 keV   1.539E+03  5.432E+00    2.72 um     4458 A      5051 A   
 275.00 keV   1.582E+03  5.048E+00    2.87 um     4497 A      5133 A   
 300.00 keV   1.616E+03  4.720E+00    3.02 um     4532 A      5208 A   
 325.00 keV   1.642E+03  4.435E+00    3.18 um     4564 A      5278 A   
 350.00 keV   1.661E+03  4.186E+00    3.32 um     4594 A      5344 A   
 375.00 keV   1.674E+03  3.965E+00    3.47 um     4622 A      5406 A   
 400.00 keV   1.682E+03  3.769E+00    3.62 um     4649 A      5464 A   
 450.00 keV   1.687E+03  3.433E+00    3.91 um     4707 A      5575 A   
 500.00 keV   1.681E+03  3.157E+00    4.20 um     4762 A      5679 A   
 550.00 keV   1.666E+03  2.925E+00    4.50 um     4814 A      5778 A   
 600.00 keV   1.646E+03  2.728E+00    4.80 um     4865 A      5873 A   
 650.00 keV   1.623E+03  2.557E+00    5.10 um     4915 A      5966 A   
 700.00 keV   1.598E+03  2.408E+00    5.41 um     4964 A      6057 A   
 800.00 keV   1.543E+03  2.161E+00    6.04 um     5101 A      6236 A   
 900.00 keV   1.488E+03  1.962E+00    6.69 um     5240 A      6415 A   
   1.00 MeV   1.434E+03  1.800E+00    7.37 um     5383 A      6595 A   
   1.10 MeV   1.382E+03  1.664E+00    8.08 um     5530 A      6777 A   
   1.20 MeV   1.333E+03  1.548E+00    8.81 um     5682 A      6964 A   
   1.30 MeV   1.287E+03  1.449E+00    9.57 um     5839 A      7155 A   
   1.40 MeV   1.244E+03  1.362E+00   10.36 um     6002 A      7352 A   
   1.50 MeV   1.204E+03  1.286E+00   11.17 um     6170 A      7555 A   
   1.60 MeV   1.167E+03  1.218E+00   12.01 um     6343 A      7764 A   
   1.70 MeV   1.132E+03  1.158E+00   12.88 um     6522 A      7979 A   
   1.80 MeV   1.100E+03  1.104E+00   13.77 um     6707 A      8202 A   
   2.00 MeV   1.040E+03  1.010E+00   15.63 um     7331 A      8667 A   
   2.25 MeV   9.756E+02  9.146E-01   18.11 um     8277 A      9289 A   
   2.50 MeV   9.196E+02  8.365E-01   20.74 um     9232 A      9956 A   
   2.75 MeV   8.708E+02  7.715E-01   23.52 um     1.02 um     1.07 um  
   3.00 MeV   8.277E+02  7.164E-01   26.46 um     1.12 um     1.14 um  
   3.25 MeV   7.895E+02  6.691E-01   29.54 um     1.22 um     1.22 um  
   3.50 MeV   7.552E+02  6.280E-01   32.77 um     1.32 um     1.31 um  
   3.75 MeV   7.244E+02  5.920E-01   36.14 um     1.42 um     1.39 um  
   4.00 MeV   6.964E+02  5.601E-01   39.65 um     1.52 um     1.48 um  
   4.50 MeV   6.476E+02  5.062E-01   47.08 um     1.88 um     1.68 um  
