# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.030E+01  1.213E+01    3597 A      3994 A      3044 A   
  11.00 keV   9.509E+01  1.191E+01    3937 A      4246 A      3248 A   
  12.00 keV   9.975E+01  1.170E+01    4276 A      4487 A      3444 A   
  13.00 keV   1.043E+02  1.150E+01    4614 A      4719 A      3634 A   
  14.00 keV   1.087E+02  1.130E+01    4950 A      4942 A      3818 A   
  15.00 keV   1.131E+02  1.110E+01    5285 A      5156 A      3997 A   
  16.00 keV   1.174E+02  1.092E+01    5618 A      5362 A      4170 A   
  17.00 keV   1.216E+02  1.073E+01    5950 A      5561 A      4339 A   
  18.00 keV   1.257E+02  1.056E+01    6281 A      5753 A      4503 A   
  20.00 keV   1.337E+02  1.022E+01    6937 A      6116 A      4819 A   
  22.50 keV   1.434E+02  9.835E+00    7748 A      6538 A      5192 A   
  25.00 keV   1.528E+02  9.479E+00    8547 A      6930 A      5543 A   
  27.50 keV   1.620E+02  9.151E+00    9334 A      7294 A      5874 A   
  30.00 keV   1.708E+02  8.849E+00    1.01 um     7634 A      6188 A   
  32.50 keV   1.794E+02  8.569E+00    1.09 um     7952 A      6486 A   
  35.00 keV   1.878E+02  8.309E+00    1.16 um     8251 A      6770 A   
  37.50 keV   1.961E+02  8.066E+00    1.24 um     8532 A      7040 A   
  40.00 keV   2.041E+02  7.840E+00    1.31 um     8796 A      7299 A   
  45.00 keV   2.196E+02  7.430E+00    1.45 um     9282 A      7786 A   
  50.00 keV   2.345E+02  7.067E+00    1.59 um     9719 A      8235 A   
  55.00 keV   2.489E+02  6.744E+00    1.73 um     1.01 um     8651 A   
  60.00 keV   2.627E+02  6.454E+00    1.86 um     1.05 um     9038 A   
  65.00 keV   2.760E+02  6.191E+00    1.99 um     1.08 um     9401 A   
  70.00 keV   2.888E+02  5.953E+00    2.11 um     1.11 um     9742 A   
  80.00 keV   3.131E+02  5.535E+00    2.35 um     1.17 um     1.04 um  
  90.00 keV   3.357E+02  5.181E+00    2.59 um     1.21 um     1.09 um  
 100.00 keV   3.567E+02  4.875E+00    2.81 um     1.26 um     1.14 um  
 110.00 keV   3.763E+02  4.609E+00    3.03 um     1.29 um     1.19 um  
 120.00 keV   3.944E+02  4.374E+00    3.23 um     1.33 um     1.23 um  
 130.00 keV   4.113E+02  4.165E+00    3.44 um     1.36 um     1.27 um  
 140.00 keV   4.269E+02  3.978E+00    3.64 um     1.38 um     1.31 um  
 150.00 keV   4.414E+02  3.810E+00    3.83 um     1.41 um     1.35 um  
 160.00 keV   4.548E+02  3.657E+00    4.02 um     1.43 um     1.38 um  
 170.00 keV   4.672E+02  3.518E+00    4.21 um     1.46 um     1.41 um  
 180.00 keV   4.786E+02  3.390E+00    4.39 um     1.48 um     1.44 um  
 200.00 keV   4.990E+02  3.164E+00    4.75 um     1.51 um     1.50 um  
 225.00 keV   5.204E+02  2.925E+00    5.18 um     1.56 um     1.56 um  
 250.00 keV   5.381E+02  2.724E+00    5.61 um     1.59 um     1.62 um  
 275.00 keV   5.528E+02  2.552E+00    6.02 um     1.63 um     1.68 um  
 300.00 keV   5.650E+02  2.402E+00    6.43 um     1.66 um     1.73 um  
 325.00 keV   5.752E+02  2.272E+00    6.83 um     1.69 um     1.78 um  
 350.00 keV   5.837E+02  2.156E+00    7.23 um     1.71 um     1.82 um  
 375.00 keV   5.908E+02  2.053E+00    7.63 um     1.74 um     1.87 um  
 400.00 keV   5.967E+02  1.960E+00    8.02 um     1.76 um     1.91 um  
 450.00 keV   6.057E+02  1.800E+00    8.81 um     1.81 um     1.99 um  
 500.00 keV   6.116E+02  1.667E+00    9.58 um     1.85 um     2.07 um  
 550.00 keV   6.152E+02  1.554E+00   10.36 um     1.89 um     2.14 um  
 600.00 keV   6.169E+02  1.457E+00   11.14 um     1.92 um     2.21 um  
 650.00 keV   6.172E+02  1.372E+00   11.91 um     1.96 um     2.28 um  
 700.00 keV   6.162E+02  1.298E+00   12.69 um     1.99 um     2.35 um  
 800.00 keV   6.117E+02  1.173E+00   14.26 um     2.06 um     2.47 um  
 900.00 keV   6.048E+02  1.072E+00   15.85 um     2.13 um     2.60 um  
   1.00 MeV   5.962E+02  9.883E-01   17.47 um     2.19 um     2.72 um  
   1.10 MeV   5.867E+02  9.179E-01   19.12 um     2.25 um     2.84 um  
   1.20 MeV   5.766E+02  8.577E-01   20.80 um     2.31 um     2.96 um  
   1.30 MeV   5.663E+02  8.055E-01   22.51 um     2.37 um     3.07 um  
   1.40 MeV   5.558E+02  7.599E-01   24.25 um     2.43 um     3.19 um  
   1.50 MeV   5.454E+02  7.195E-01   26.03 um     2.49 um     3.31 um  
   1.60 MeV   5.352E+02  6.836E-01   27.84 um     2.55 um     3.43 um  
   1.70 MeV   5.252E+02  6.514E-01   29.69 um     2.61 um     3.55 um  
   1.80 MeV   5.154E+02  6.224E-01   31.58 um     2.67 um     3.67 um  
   2.00 MeV   4.967E+02  5.720E-01   35.47 um     2.81 um     3.91 um  
   2.25 MeV   4.749E+02  5.202E-01   40.54 um     3.02 um     4.22 um  
   2.50 MeV   4.550E+02  4.776E-01   45.84 um     3.22 um     4.54 um  
   2.75 MeV   4.367E+02  4.420E-01   51.37 um     3.43 um     4.87 um  
   3.00 MeV   4.200E+02  4.117E-01   57.13 um     3.64 um     5.21 um  
   3.25 MeV   4.046E+02  3.855E-01   63.12 um     3.85 um     5.56 um  
   3.50 MeV   3.905E+02  3.628E-01   69.34 um     4.07 um     5.92 um  
   3.75 MeV   3.774E+02  3.427E-01   75.78 um     4.30 um     6.29 um  
   4.00 MeV   3.653E+02  3.249E-01   82.44 um     4.52 um     6.67 um  
   4.50 MeV   3.437E+02  2.947E-01   96.40 um     5.18 um     7.45 um  
   5.00 MeV   3.249E+02  2.699E-01  111.22 um     5.83 um     8.28 um  
   5.50 MeV   3.084E+02  2.493E-01  126.87 um     6.48 um     9.14 um  
   6.00 MeV   2.938E+02  2.318E-01  143.34 um     7.14 um    10.04 um  
   6.50 MeV   2.807E+02  2.167E-01  160.60 um     7.81 um    10.97 um  
   7.00 MeV   2.690E+02  2.036E-01  178.64 um     8.48 um    11.94 um  
   8.00 MeV   2.487E+02  1.819E-01  217.00 um    10.57 um    13.99 um  
   9.00 MeV   2.334E+02  1.646E-01  258.19 um    12.57 um    16.15 um  
  10.00 MeV   2.188E+02  1.505E-01  302.13 um    14.54 um    18.43 um  
