# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.888E+02  3.045E+01    2671 A      1886 A      1521 A   
  11.00 keV   1.986E+02  2.937E+01    2925 A      1998 A      1623 A   
  12.00 keV   2.081E+02  2.838E+01    3177 A      2105 A      1721 A   
  13.00 keV   2.172E+02  2.746E+01    3427 A      2205 A      1815 A   
  14.00 keV   2.260E+02  2.661E+01    3674 A      2301 A      1905 A   
  15.00 keV   2.345E+02  2.582E+01    3918 A      2391 A      1992 A   
  16.00 keV   2.428E+02  2.508E+01    4160 A      2478 A      2076 A   
  17.00 keV   2.509E+02  2.439E+01    4400 A      2560 A      2157 A   
  18.00 keV   2.587E+02  2.374E+01    4637 A      2639 A      2236 A   
  20.00 keV   2.738E+02  2.256E+01    5105 A      2786 A      2385 A   
  22.50 keV   2.917E+02  2.127E+01    5677 A      2953 A      2560 A   
  25.00 keV   3.087E+02  2.014E+01    6235 A      3105 A      2722 A   
  27.50 keV   3.250E+02  1.914E+01    6780 A      3243 A      2874 A   
  30.00 keV   3.405E+02  1.825E+01    7313 A      3371 A      3017 A   
  32.50 keV   3.555E+02  1.745E+01    7834 A      3488 A      3151 A   
  35.00 keV   3.699E+02  1.673E+01    8344 A      3597 A      3278 A   
  37.50 keV   3.838E+02  1.608E+01    8844 A      3698 A      3398 A   
  40.00 keV   3.972E+02  1.548E+01    9334 A      3793 A      3512 A   
  45.00 keV   4.229E+02  1.443E+01    1.03 um     3964 A      3724 A   
  50.00 keV   4.471E+02  1.353E+01    1.12 um     4116 A      3917 A   
  55.00 keV   4.701E+02  1.275E+01    1.21 um     4252 A      4095 A   
  60.00 keV   4.920E+02  1.207E+01    1.30 um     4374 A      4259 A   
  65.00 keV   5.129E+02  1.147E+01    1.38 um     4485 A      4412 A   
  70.00 keV   5.329E+02  1.093E+01    1.46 um     4587 A      4555 A   
  80.00 keV   5.704E+02  1.001E+01    1.62 um     4767 A      4814 A   
  90.00 keV   6.051E+02  9.248E+00    1.77 um     4922 A      5045 A   
 100.00 keV   6.374E+02  8.608E+00    1.91 um     5057 A      5253 A   
 110.00 keV   6.675E+02  8.061E+00    2.05 um     5176 A      5441 A   
 120.00 keV   6.956E+02  7.587E+00    2.18 um     5283 A      5614 A   
 130.00 keV   7.220E+02  7.171E+00    2.31 um     5379 A      5774 A   
 140.00 keV   7.468E+02  6.804E+00    2.44 um     5466 A      5922 A   
 150.00 keV   7.701E+02  6.477E+00    2.56 um     5545 A      6060 A   
 160.00 keV   7.921E+02  6.183E+00    2.68 um     5618 A      6189 A   
 170.00 keV   8.128E+02  5.917E+00    2.80 um     5686 A      6311 A   
 180.00 keV   8.324E+02  5.676E+00    2.91 um     5749 A      6426 A   
 200.00 keV   8.683E+02  5.254E+00    3.13 um     5866 A      6638 A   
 225.00 keV   9.080E+02  4.815E+00    3.40 um     5997 A      6877 A   
 250.00 keV   9.426E+02  4.450E+00    3.66 um     6111 A      7092 A   
 275.00 keV   9.727E+02  4.142E+00    3.91 um     6213 A      7289 A   
 300.00 keV   9.991E+02  3.878E+00    4.15 um     6304 A      7470 A   
 325.00 keV   1.022E+03  3.648E+00    4.39 um     6388 A      7638 A   
 350.00 keV   1.042E+03  3.446E+00    4.63 um     6466 A      7795 A   
 375.00 keV   1.059E+03  3.268E+00    4.86 um     6538 A      7944 A   
 400.00 keV   1.074E+03  3.109E+00    5.09 um     6605 A      8085 A   
 450.00 keV   1.098E+03  2.836E+00    5.54 um     6743 A      8347 A   
 500.00 keV   1.115E+03  2.611E+00    5.98 um     6869 A      8590 A   
 550.00 keV   1.126E+03  2.422E+00    6.42 um     6985 A      8816 A   
 600.00 keV   1.134E+03  2.261E+00    6.85 um     7093 A      9031 A   
 650.00 keV   1.137E+03  2.122E+00    7.29 um     7196 A      9235 A   
 700.00 keV   1.138E+03  2.000E+00    7.72 um     7295 A      9431 A   
 800.00 keV   1.133E+03  1.796E+00    8.59 um     7531 A      9806 A   
 900.00 keV   1.121E+03  1.633E+00    9.47 um     7756 A      1.02 um  
   1.00 MeV   1.105E+03  1.499E+00   10.36 um     7975 A      1.05 um  
   1.10 MeV   1.087E+03  1.387E+00   11.26 um     8189 A      1.08 um  
   1.20 MeV   1.067E+03  1.292E+00   12.18 um     8400 A      1.12 um  
   1.30 MeV   1.046E+03  1.210E+00   13.12 um     8611 A      1.15 um  
   1.40 MeV   1.025E+03  1.138E+00   14.08 um     8823 A      1.18 um  
   1.50 MeV   1.004E+03  1.075E+00   15.06 um     9035 A      1.22 um  
