# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.004E+02  1.820E+01    3425 A      3359 A      2597 A   
  11.00 keV   1.056E+02  1.772E+01    3764 A      3580 A      2780 A   
  12.00 keV   1.106E+02  1.727E+01    4103 A      3791 A      2958 A   
  13.00 keV   1.156E+02  1.684E+01    4441 A      3995 A      3130 A   
  14.00 keV   1.203E+02  1.644E+01    4778 A      4190 A      3297 A   
  15.00 keV   1.250E+02  1.606E+01    5114 A      4377 A      3459 A   
  16.00 keV   1.296E+02  1.569E+01    5449 A      4558 A      3617 A   
  17.00 keV   1.340E+02  1.535E+01    5783 A      4732 A      3770 A   
  18.00 keV   1.384E+02  1.502E+01    6115 A      4900 A      3919 A   
  20.00 keV   1.468E+02  1.441E+01    6776 A      5216 A      4206 A   
  22.50 keV   1.570E+02  1.373E+01    7593 A      5584 A      4547 A   
  25.00 keV   1.667E+02  1.311E+01    8398 A      5924 A      4867 A   
  27.50 keV   1.760E+02  1.256E+01    9192 A      6241 A      5169 A   
  30.00 keV   1.851E+02  1.206E+01    9974 A      6535 A      5456 A   
  32.50 keV   1.938E+02  1.161E+01    1.07 um     6810 A      5729 A   
  35.00 keV   2.023E+02  1.119E+01    1.15 um     7068 A      5988 A   
  37.50 keV   2.105E+02  1.081E+01    1.23 um     7311 A      6236 A   
  40.00 keV   2.185E+02  1.046E+01    1.30 um     7539 A      6473 A   
  45.00 keV   2.339E+02  9.825E+00    1.44 um     7957 A      6919 A   
  50.00 keV   2.485E+02  9.278E+00    1.58 um     8334 A      7330 A   
  55.00 keV   2.625E+02  8.797E+00    1.72 um     8674 A      7712 A   
  60.00 keV   2.758E+02  8.371E+00    1.85 um     8985 A      8068 A   
  65.00 keV   2.886E+02  7.991E+00    1.98 um     9270 A      8401 A   
  70.00 keV   3.009E+02  7.649E+00    2.11 um     9532 A      8715 A   
  80.00 keV   3.241E+02  7.057E+00    2.36 um    10000 A      9291 A   
  90.00 keV   3.456E+02  6.561E+00    2.59 um     1.04 um     9808 A   
 100.00 keV   3.657E+02  6.140E+00    2.82 um     1.08 um     1.03 um  
 110.00 keV   3.845E+02  5.776E+00    3.04 um     1.11 um     1.07 um  
 120.00 keV   4.021E+02  5.458E+00    3.25 um     1.14 um     1.11 um  
