# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.310E+02  4.434E+01    2415 A      1405 A      1164 A   
  11.00 keV   2.421E+02  4.246E+01    2647 A      1489 A      1245 A   
  12.00 keV   2.526E+02  4.076E+01    2878 A      1569 A      1322 A   
  13.00 keV   2.628E+02  3.922E+01    3106 A      1644 A      1396 A   
  14.00 keV   2.730E+02  3.780E+01    3332 A      1714 A      1468 A   
  15.00 keV   2.831E+02  3.651E+01    3556 A      1782 A      1536 A   
  16.00 keV   2.933E+02  3.531E+01    3776 A      1845 A      1602 A   
  17.00 keV   3.035E+02  3.420E+01    3994 A      1906 A      1666 A   
  18.00 keV   3.138E+02  3.317E+01    4208 A      1963 A      1727 A   
  20.00 keV   3.343E+02  3.131E+01    4627 A      2069 A      1844 A   
  22.50 keV   3.596E+02  2.931E+01    5134 A      2188 A      1977 A   
  25.00 keV   3.843E+02  2.758E+01    5622 A      2293 A      2100 A   
  27.50 keV   4.082E+02  2.608E+01    6092 A      2388 A      2213 A   
  30.00 keV   4.315E+02  2.475E+01    6547 A      2473 A      2317 A   
  32.50 keV   4.540E+02  2.357E+01    6987 A      2550 A      2413 A   
  35.00 keV   4.758E+02  2.251E+01    7413 A      2620 A      2503 A   
  37.50 keV   4.970E+02  2.156E+01    7826 A      2684 A      2586 A   
  40.00 keV   5.176E+02  2.069E+01    8228 A      2743 A      2665 A   
  45.00 keV   5.570E+02  1.918E+01    9001 A      2848 A      2808 A   
  50.00 keV   5.945E+02  1.790E+01    9736 A      2939 A      2936 A   
  55.00 keV   6.301E+02  1.680E+01    1.04 um     3018 A      3051 A   
  60.00 keV   6.641E+02  1.585E+01    1.11 um     3088 A      3155 A   
  65.00 keV   6.965E+02  1.501E+01    1.18 um     3151 A      3250 A   
  70.00 keV   7.275E+02  1.426E+01    1.24 um     3207 A      3338 A   
  80.00 keV   7.856E+02  1.300E+01    1.36 um     3305 A      3494 A   
  90.00 keV   8.390E+02  1.196E+01    1.47 um     3388 A      3630 A   
 100.00 keV   8.883E+02  1.109E+01    1.58 um     3458 A      3750 A   
 110.00 keV   9.339E+02  1.036E+01    1.68 um     3519 A      3858 A   
 120.00 keV   9.760E+02  9.721E+00    1.78 um     3573 A      3955 A   
 130.00 keV   1.015E+03  9.167E+00    1.87 um     3621 A      4043 A   
 140.00 keV   1.051E+03  8.679E+00    1.96 um     3664 A      4124 A   
 150.00 keV   1.085E+03  8.246E+00    2.05 um     3703 A      4199 A   
 160.00 keV   1.116E+03  7.858E+00    2.14 um     3739 A      4269 A   
 170.00 keV   1.145E+03  7.508E+00    2.22 um     3771 A      4334 A   
 180.00 keV   1.172E+03  7.191E+00    2.31 um     3802 A      4395 A   
 200.00 keV   1.219E+03  6.639E+00    2.47 um     3860 A      4508 A   
 225.00 keV   1.270E+03  6.067E+00    2.66 um     3925 A      4634 A   
 250.00 keV   1.311E+03  5.594E+00    2.85 um     3982 A      4747 A   
 275.00 keV   1.345E+03  5.196E+00    3.04 um     4033 A      4850 A   
 300.00 keV   1.373E+03  4.855E+00    3.21 um     4079 A      4945 A   
 325.00 keV   1.395E+03  4.560E+00    3.39 um     4122 A      5033 A   
 350.00 keV   1.413E+03  4.301E+00    3.57 um     4162 A      5117 A   
 375.00 keV   1.426E+03  4.073E+00    3.74 um     4199 A      5196 A   
 400.00 keV   1.436E+03  3.870E+00    3.91 um     4235 A      5271 A   
 450.00 keV   1.448E+03  3.523E+00    4.25 um     4314 A      5412 A   
 500.00 keV   1.452E+03  3.238E+00    4.59 um     4389 A      5545 A   
 550.00 keV   1.449E+03  2.999E+00    4.93 um     4460 A      5670 A   
 600.00 keV   1.441E+03  2.795E+00    5.28 um     4528 A      5790 A   
 650.00 keV   1.430E+03  2.619E+00    5.62 um     4594 A      5907 A   
 700.00 keV   1.416E+03  2.466E+00    5.97 um     4659 A      6020 A   
 800.00 keV   1.384E+03  2.211E+00    6.68 um     4838 A      6242 A   
 900.00 keV   1.349E+03  2.007E+00    7.40 um     5015 A      6458 A   
   1.00 MeV   1.312E+03  1.839E+00    8.15 um     5192 A      6672 A   
   1.10 MeV   1.276E+03  1.700E+00    8.92 um     5371 A      6886 A   
   1.20 MeV   1.240E+03  1.581E+00    9.71 um     5551 A      7102 A   
