# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.941E+01  9.759E+00    3916 A      4938 A      3717 A   
  11.00 keV   7.309E+01  9.627E+00    4287 A      5256 A      3968 A   
  12.00 keV   7.669E+01  9.494E+00    4657 A      5562 A      4211 A   
  13.00 keV   8.021E+01  9.360E+00    5026 A      5857 A      4446 A   
  14.00 keV   8.367E+01  9.227E+00    5395 A      6142 A      4675 A   
  15.00 keV   8.707E+01  9.096E+00    5763 A      6416 A      4897 A   
  16.00 keV   9.042E+01  8.968E+00    6130 A      6682 A      5113 A   
  17.00 keV   9.371E+01  8.842E+00    6496 A      6938 A      5323 A   
  18.00 keV   9.695E+01  8.719E+00    6860 A      7187 A      5528 A   
  20.00 keV   1.033E+02  8.482E+00    7587 A      7658 A      5925 A   
  22.50 keV   1.110E+02  8.202E+00    8488 A      8209 A      6395 A   
  25.00 keV   1.185E+02  7.942E+00    9379 A      8725 A      6838 A   
  27.50 keV   1.258E+02  7.698E+00    1.03 um     9207 A      7258 A   
  30.00 keV   1.329E+02  7.471E+00    1.11 um     9659 A      7657 A   
  32.50 keV   1.398E+02  7.259E+00    1.20 um     1.01 um     8037 A   
  35.00 keV   1.466E+02  7.060E+00    1.28 um     1.05 um     8400 A   
  37.50 keV   1.531E+02  6.873E+00    1.37 um     1.09 um     8747 A   
  40.00 keV   1.596E+02  6.697E+00    1.45 um     1.12 um     9080 A   
  45.00 keV   1.721E+02  6.376E+00    1.61 um     1.19 um     9710 A   
  50.00 keV   1.840E+02  6.088E+00    1.77 um     1.25 um     1.03 um  
  55.00 keV   1.955E+02  5.830E+00    1.93 um     1.30 um     1.08 um  
  60.00 keV   2.066E+02  5.596E+00    2.08 um     1.35 um     1.13 um  
  65.00 keV   2.172E+02  5.384E+00    2.23 um     1.40 um     1.18 um  
  70.00 keV   2.274E+02  5.189E+00    2.38 um     1.44 um     1.23 um  
  80.00 keV   2.466E+02  4.846E+00    2.66 um     1.52 um     1.31 um  
  90.00 keV   2.645E+02  4.552E+00    2.93 um     1.59 um     1.39 um  
 100.00 keV   2.812E+02  4.297E+00    3.20 um     1.65 um     1.46 um  
 110.00 keV   2.968E+02  4.073E+00    3.46 um     1.70 um     1.52 um  
 120.00 keV   3.114E+02  3.875E+00    3.71 um     1.75 um     1.58 um  
 130.00 keV   3.250E+02  3.698E+00    3.95 um     1.80 um     1.63 um  
 140.00 keV   3.378E+02  3.539E+00    4.19 um     1.84 um     1.69 um  
 150.00 keV   3.499E+02  3.395E+00    4.42 um     1.88 um     1.74 um  
 160.00 keV   3.613E+02  3.264E+00    4.65 um     1.91 um     1.78 um  
 170.00 keV   3.720E+02  3.144E+00    4.87 um     1.95 um     1.83 um  
 180.00 keV   3.821E+02  3.034E+00    5.09 um     1.98 um     1.87 um  
 200.00 keV   4.006E+02  2.838E+00    5.52 um     2.03 um     1.95 um  
 225.00 keV   4.209E+02  2.631E+00    6.04 um     2.10 um     2.04 um  
 250.00 keV   4.386E+02  2.455E+00    6.55 um     2.15 um     2.12 um  
 275.00 keV   4.539E+02  2.304E+00    7.04 um     2.20 um     2.19 um  
 300.00 keV   4.671E+02  2.173E+00    7.52 um     2.25 um     2.27 um  
 325.00 keV   4.786E+02  2.058E+00    8.00 um     2.29 um     2.33 um  
 350.00 keV   4.885E+02  1.956E+00    8.46 um     2.33 um     2.40 um  
 375.00 keV   4.970E+02  1.864E+00    8.93 um     2.36 um     2.46 um  
 400.00 keV   5.043E+02  1.782E+00    9.38 um     2.40 um     2.51 um  
 450.00 keV   5.157E+02  1.640E+00   10.29 um     2.46 um     2.62 um  
 500.00 keV   5.236E+02  1.521E+00   11.18 um     2.52 um     2.73 um  
 550.00 keV   5.289E+02  1.420E+00   12.07 um     2.57 um     2.82 um  
 600.00 keV   5.320E+02  1.333E+00   12.96 um     2.63 um     2.92 um  
 650.00 keV   5.334E+02  1.257E+00   13.85 um     2.67 um     3.01 um  
