# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.064E+01  1.249E+01    3579 A      3963 A      3021 A   
  11.00 keV   9.544E+01  1.226E+01    3917 A      4213 A      3224 A   
  12.00 keV   1.001E+02  1.204E+01    4256 A      4453 A      3419 A   
  13.00 keV   1.045E+02  1.182E+01    4593 A      4684 A      3608 A   
  14.00 keV   1.088E+02  1.161E+01    4929 A      4905 A      3792 A   
  15.00 keV   1.130E+02  1.141E+01    5264 A      5119 A      3970 A   
  16.00 keV   1.170E+02  1.121E+01    5599 A      5325 A      4144 A   
  17.00 keV   1.209E+02  1.102E+01    5932 A      5525 A      4313 A   
  18.00 keV   1.247E+02  1.084E+01    6265 A      5718 A      4478 A   
  20.00 keV   1.321E+02  1.049E+01    6927 A      6084 A      4797 A   
  22.50 keV   1.409E+02  1.009E+01    7749 A      6512 A      5175 A   
  25.00 keV   1.492E+02  9.719E+00    8563 A      6913 A      5534 A   
  27.50 keV   1.571E+02  9.380E+00    9368 A      7288 A      5875 A   
  30.00 keV   1.647E+02  9.066E+00    1.02 um     7641 A      6201 A   
  32.50 keV   1.720E+02  8.776E+00    1.10 um     7974 A      6512 A   
  35.00 keV   1.791E+02  8.508E+00    1.17 um     8289 A      6811 A   
  37.50 keV   1.859E+02  8.257E+00    1.25 um     8588 A      7098 A   
  40.00 keV   1.925E+02  8.024E+00    1.33 um     8871 A      7374 A   
  45.00 keV   2.051E+02  7.601E+00    1.48 um     9397 A      7899 A   
  50.00 keV   2.170E+02  7.227E+00    1.63 um     9877 A      8388 A   
  55.00 keV   2.283E+02  6.894E+00    1.77 um     1.03 um     8848 A   
  60.00 keV   2.391E+02  6.595E+00    1.91 um     1.07 um     9281 A   
  65.00 keV   2.495E+02  6.326E+00    2.05 um     1.11 um     9690 A   
  70.00 keV   2.594E+02  6.081E+00    2.19 um     1.15 um     1.01 um  
  80.00 keV   2.780E+02  5.652E+00    2.46 um     1.21 um     1.08 um  
  90.00 keV   2.953E+02  5.288E+00    2.72 um     1.27 um     1.15 um  
 100.00 keV   3.115E+02  4.974E+00    2.97 um     1.32 um     1.21 um  
 110.00 keV   3.267E+02  4.701E+00    3.21 um     1.36 um     1.26 um  
 120.00 keV   3.409E+02  4.461E+00    3.45 um     1.40 um     1.32 um  
 130.00 keV   3.544E+02  4.247E+00    3.68 um     1.44 um     1.36 um  
 140.00 keV   3.671E+02  4.056E+00    3.91 um     1.48 um     1.41 um  
 150.00 keV   3.791E+02  3.883E+00    4.13 um     1.51 um     1.45 um  
 160.00 keV   3.905E+02  3.727E+00    4.35 um     1.54 um     1.50 um  
 170.00 keV   4.013E+02  3.584E+00    4.56 um     1.57 um     1.53 um  
 180.00 keV   4.116E+02  3.454E+00    4.77 um     1.59 um     1.57 um  
 200.00 keV   4.306E+02  3.223E+00    5.18 um     1.64 um     1.64 um  
 225.00 keV   4.519E+02  2.979E+00    5.68 um     1.69 um     1.72 um  
 250.00 keV   4.708E+02  2.773E+00    6.16 um     1.74 um     1.80 um  
 275.00 keV   4.876E+02  2.598E+00    6.63 um     1.78 um     1.86 um  
 300.00 keV   5.024E+02  2.445E+00    7.09 um     1.82 um     1.93 um  
 325.00 keV   5.157E+02  2.312E+00    7.54 um     1.86 um     1.98 um  
 350.00 keV   5.274E+02  2.194E+00    7.98 um     1.89 um     2.04 um  
 375.00 keV   5.378E+02  2.089E+00    8.41 um     1.92 um     2.09 um  
 400.00 keV   5.471E+02  1.994E+00    8.84 um     1.95 um     2.14 um  
 450.00 keV   5.624E+02  1.831E+00    9.68 um     2.00 um     2.24 um  
 500.00 keV   5.742E+02  1.695E+00   10.51 um     2.05 um     2.32 um  
 550.00 keV   5.831E+02  1.580E+00   11.33 um     2.10 um     2.40 um  
 600.00 keV   5.897E+02  1.481E+00   12.14 um     2.14 um     2.48 um  
 650.00 keV   5.942E+02  1.395E+00   12.95 um     2.17 um     2.56 um  
 700.00 keV   5.971E+02  1.319E+00   13.75 um     2.21 um     2.63 um  
 800.00 keV   5.990E+02  1.192E+00   15.36 um     2.28 um     2.76 um  
 900.00 keV   5.970E+02  1.089E+00   16.98 um     2.35 um     2.89 um  
   1.00 MeV   5.924E+02  1.004E+00   18.61 um     2.42 um     3.02 um  
   1.10 MeV   5.860E+02  9.326E-01   20.26 um     2.48 um     3.14 um  
   1.20 MeV   5.783E+02  8.713E-01   21.93 um     2.54 um     3.26 um  
   1.30 MeV   5.698E+02  8.182E-01   23.63 um     2.60 um     3.37 um  
   1.40 MeV   5.607E+02  7.718E-01   25.36 um     2.66 um     3.49 um  
   1.50 MeV   5.514E+02  7.308E-01   27.12 um     2.71 um     3.60 um  
   1.60 MeV   5.420E+02  6.943E-01   28.91 um     2.77 um     3.72 um  
   1.70 MeV   5.326E+02  6.616E-01   30.74 um     2.83 um     3.83 um  
   1.80 MeV   5.232E+02  6.320E-01   32.60 um     2.88 um     3.95 um  
   2.00 MeV   5.049E+02  5.808E-01   36.42 um     3.02 um     4.19 um  
   2.25 MeV   4.832E+02  5.281E-01   41.41 um     3.21 um     4.48 um  
   2.50 MeV   4.630E+02  4.849E-01   46.62 um     3.40 um     4.79 um  
   2.75 MeV   4.442E+02  4.487E-01   52.05 um     3.60 um     5.10 um  
   3.00 MeV   4.269E+02  4.179E-01   57.72 um     3.79 um     5.43 um  
