# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.143E+02  1.684E+01    3269 A      3160 A      2446 A   
  11.00 keV   1.203E+02  1.644E+01    3583 A      3359 A      2612 A   
  12.00 keV   1.261E+02  1.606E+01    3895 A      3548 A      2771 A   
  13.00 keV   1.318E+02  1.569E+01    4206 A      3730 A      2926 A   
  14.00 keV   1.374E+02  1.534E+01    4515 A      3904 A      3075 A   
  15.00 keV   1.428E+02  1.501E+01    4822 A      4070 A      3219 A   
  16.00 keV   1.481E+02  1.469E+01    5127 A      4230 A      3359 A   
  17.00 keV   1.534E+02  1.439E+01    5431 A      4384 A      3495 A   
  18.00 keV   1.585E+02  1.410E+01    5732 A      4532 A      3627 A   
  20.00 keV   1.685E+02  1.356E+01    6330 A      4810 A      3880 A   
  22.50 keV   1.807E+02  1.295E+01    7064 A      5131 A      4178 A   
  25.00 keV   1.924E+02  1.240E+01    7786 A      5427 A      4456 A   
  27.50 keV   2.037E+02  1.190E+01    8494 A      5700 A      4718 A   
  30.00 keV   2.147E+02  1.145E+01    9188 A      5953 A      4965 A   
  32.50 keV   2.254E+02  1.104E+01    9870 A      6188 A      5199 A   
  35.00 keV   2.359E+02  1.066E+01    1.05 um     6407 A      5421 A   
  37.50 keV   2.461E+02  1.031E+01    1.12 um     6612 A      5631 A   
  40.00 keV   2.560E+02  9.984E+00    1.18 um     6804 A      5832 A   
  45.00 keV   2.753E+02  9.403E+00    1.31 um     7154 A      6207 A   
  50.00 keV   2.937E+02  8.896E+00    1.43 um     7467 A      6550 A   
  55.00 keV   3.115E+02  8.449E+00    1.55 um     7748 A      6866 A   
  60.00 keV   3.286E+02  8.051E+00    1.66 um     8002 A      7159 A   
  65.00 keV   3.452E+02  7.695E+00    1.78 um     8233 A      7432 A   
  70.00 keV   3.611E+02  7.374E+00    1.88 um     8444 A      7687 A   
  80.00 keV   3.916E+02  6.817E+00    2.09 um     8818 A      8150 A   
  90.00 keV   4.202E+02  6.349E+00    2.29 um     9140 A      8563 A   
 100.00 keV   4.471E+02  5.950E+00    2.48 um     9420 A      8934 A   
 110.00 keV   4.724E+02  5.604E+00    2.66 um     9667 A      9271 A   
 120.00 keV   4.964E+02  5.302E+00    2.84 um     9887 A      9580 A   
 130.00 keV   5.190E+02  5.034E+00    3.00 um     1.01 um     9863 A   
 140.00 keV   5.404E+02  4.796E+00    3.17 um     1.03 um     1.01 um  
 150.00 keV   5.606E+02  4.582E+00    3.33 um     1.04 um     1.04 um  
 160.00 keV   5.798E+02  4.389E+00    3.48 um     1.06 um     1.06 um  
 170.00 keV   5.979E+02  4.214E+00    3.64 um     1.07 um     1.08 um  
 180.00 keV   6.150E+02  4.054E+00    3.78 um     1.08 um     1.10 um  
 200.00 keV   6.465E+02  3.771E+00    4.07 um     1.11 um     1.14 um  
 225.00 keV   6.812E+02  3.475E+00    4.42 um     1.13 um     1.18 um  
 250.00 keV   7.112E+02  3.227E+00    4.75 um     1.15 um     1.22 um  
 275.00 keV   7.372E+02  3.015E+00    5.07 um     1.17 um     1.25 um  
 300.00 keV   7.595E+02  2.833E+00    5.38 um     1.19 um     1.29 um  
 325.00 keV   7.785E+02  2.673E+00    5.69 um     1.21 um     1.32 um  
 350.00 keV   7.947E+02  2.533E+00    5.99 um     1.22 um     1.34 um  
