# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.523E+01  7.931E+00    4080 A      5341 A      4005 A   
  11.00 keV   6.820E+01  7.851E+00    4461 A      5683 A      4273 A   
  12.00 keV   7.104E+01  7.767E+00    4842 A      6014 A      4533 A   
  13.00 keV   7.376E+01  7.680E+00    5224 A      6336 A      4788 A   
  14.00 keV   7.636E+01  7.592E+00    5607 A      6649 A      5037 A   
  15.00 keV   7.887E+01  7.503E+00    5991 A      6953 A      5281 A   
  16.00 keV   8.130E+01  7.415E+00    6375 A      7250 A      5520 A   
  17.00 keV   8.364E+01  7.328E+00    6759 A      7540 A      5754 A   
  18.00 keV   8.591E+01  7.241E+00    7144 A      7823 A      5984 A   
  20.00 keV   9.026E+01  7.072E+00    7916 A      8368 A      6435 A   
  22.50 keV   9.539E+01  6.870E+00    8883 A      9017 A      6978 A   
  25.00 keV   1.002E+02  6.677E+00    9850 A      9638 A      7500 A   
  27.50 keV   1.048E+02  6.495E+00    1.08 um     1.02 um     8004 A   
  30.00 keV   1.091E+02  6.324E+00    1.18 um     1.08 um     8491 A   
  32.50 keV   1.133E+02  6.162E+00    1.27 um     1.13 um     8963 A   
  35.00 keV   1.173E+02  6.009E+00    1.37 um     1.19 um     9422 A   
  37.50 keV   1.212E+02  5.864E+00    1.47 um     1.24 um     9868 A   
  40.00 keV   1.249E+02  5.727E+00    1.56 um     1.29 um     1.03 um  
  45.00 keV   1.319E+02  5.474E+00    1.75 um     1.38 um     1.11 um  
  50.00 keV   1.386E+02  5.245E+00    1.94 um     1.46 um     1.19 um  
  55.00 keV   1.449E+02  5.038E+00    2.13 um     1.54 um     1.27 um  
  60.00 keV   1.509E+02  4.850E+00    2.32 um     1.62 um     1.34 um  
  65.00 keV   1.566E+02  4.677E+00    2.51 um     1.69 um     1.41 um  
  70.00 keV   1.620E+02  4.518E+00    2.69 um     1.76 um     1.48 um  
  80.00 keV   1.723E+02  4.236E+00    3.05 um     1.89 um     1.61 um  
  90.00 keV   1.819E+02  3.992E+00    3.41 um     2.00 um     1.73 um  
 100.00 keV   1.909E+02  3.779E+00    3.77 um     2.11 um     1.84 um  
 110.00 keV   1.994E+02  3.591E+00    4.11 um     2.21 um     1.95 um  
 120.00 keV   2.074E+02  3.424E+00    4.46 um     2.30 um     2.05 um  
 130.00 keV   2.150E+02  3.274E+00    4.79 um     2.38 um     2.14 um  
 140.00 keV   2.222E+02  3.138E+00    5.12 um     2.46 um     2.23 um  
 150.00 keV   2.291E+02  3.015E+00    5.45 um     2.54 um     2.32 um  
 160.00 keV   2.356E+02  2.903E+00    5.77 um     2.61 um     2.41 um  
 170.00 keV   2.419E+02  2.800E+00    6.09 um     2.67 um     2.49 um  
 180.00 keV   2.480E+02  2.705E+00    6.41 um     2.74 um     2.56 um  
