# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.817E+01  9.164E+00    3977 A      5103 A      3835 A   
  11.00 keV   7.205E+01  9.049E+00    4347 A      5426 A      4089 A   
  12.00 keV   7.572E+01  8.932E+00    4717 A      5736 A      4334 A   
  13.00 keV   7.921E+01  8.814E+00    5087 A      6034 A      4571 A   
  14.00 keV   8.251E+01  8.696E+00    5456 A      6322 A      4802 A   
  15.00 keV   8.562E+01  8.579E+00    5825 A      6600 A      5026 A   
  16.00 keV   8.855E+01  8.464E+00    6195 A      6870 A      5245 A   
  17.00 keV   9.130E+01  8.350E+00    6565 A      7132 A      5460 A   
  18.00 keV   9.390E+01  8.239E+00    6935 A      7388 A      5670 A   
  20.00 keV   9.869E+01  8.024E+00    7679 A      7877 A      6080 A   
  22.50 keV   1.042E+02  7.770E+00    8613 A      8461 A      6575 A   
  25.00 keV   1.094E+02  7.531E+00    9548 A      9018 A      7051 A   
  27.50 keV   1.147E+02  7.308E+00    1.05 um     9550 A      7510 A   
  30.00 keV   1.202E+02  7.099E+00    1.14 um     1.01 um     7952 A   
  32.50 keV   1.258E+02  6.902E+00    1.23 um     1.05 um     8377 A   
  35.00 keV   1.317E+02  6.718E+00    1.32 um     1.10 um     8786 A   
  37.50 keV   1.377E+02  6.545E+00    1.41 um     1.14 um     9178 A   
  40.00 keV   1.437E+02  6.382E+00    1.50 um     1.18 um     9554 A   
  45.00 keV   1.559E+02  6.082E+00    1.68 um     1.26 um     1.03 um  
  50.00 keV   1.680E+02  5.814E+00    1.85 um     1.33 um     1.09 um  
  55.00 keV   1.798E+02  5.572E+00    2.01 um     1.39 um     1.15 um  
  60.00 keV   1.913E+02  5.353E+00    2.17 um     1.45 um     1.21 um  
  65.00 keV   2.026E+02  5.153E+00    2.33 um     1.50 um     1.26 um  
  70.00 keV   2.135E+02  4.970E+00    2.48 um     1.55 um     1.31 um  
  80.00 keV   2.344E+02  4.647E+00    2.77 um     1.63 um     1.40 um  
  90.00 keV   2.540E+02  4.369E+00    3.05 um     1.71 um     1.48 um  
 100.00 keV   2.725E+02  4.127E+00    3.32 um     1.77 um     1.55 um  
 110.00 keV   2.900E+02  3.915E+00    3.58 um     1.83 um     1.62 um  
