# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.043E+02  1.581E+01    3314 A      3437 A      2639 A   
  11.00 keV   1.103E+02  1.548E+01    3629 A      3653 A      2816 A   
  12.00 keV   1.162E+02  1.515E+01    3942 A      3859 A      2986 A   
  13.00 keV   1.218E+02  1.484E+01    4253 A      4056 A      3150 A   
  14.00 keV   1.273E+02  1.454E+01    4562 A      4244 A      3309 A   
  15.00 keV   1.326E+02  1.425E+01    4870 A      4424 A      3462 A   
  16.00 keV   1.378E+02  1.398E+01    5176 A      4597 A      3610 A   
  17.00 keV   1.429E+02  1.371E+01    5480 A      4763 A      3754 A   
  18.00 keV   1.478E+02  1.346E+01    5782 A      4923 A      3893 A   
  20.00 keV   1.575E+02  1.298E+01    6382 A      5224 A      4162 A   
  22.50 keV   1.690E+02  1.244E+01    7121 A      5572 A      4477 A   
  25.00 keV   1.800E+02  1.194E+01    7849 A      5893 A      4774 A   
  27.50 keV   1.906E+02  1.149E+01    8565 A      6191 A      5053 A   
  30.00 keV   2.008E+02  1.108E+01    9269 A      6469 A      5317 A   
  32.50 keV   2.107E+02  1.070E+01    9963 A      6727 A      5567 A   
  35.00 keV   2.202E+02  1.034E+01    1.06 um     6970 A      5806 A   
  37.50 keV   2.295E+02  1.002E+01    1.13 um     7197 A      6033 A   
  40.00 keV   2.385E+02  9.720E+00    1.20 um     7412 A      6250 A   
  45.00 keV   2.559E+02  9.177E+00    1.33 um     7804 A      6658 A   
  50.00 keV   2.723E+02  8.701E+00    1.45 um     8157 A      7034 A   
  55.00 keV   2.881E+02  8.280E+00    1.58 um     8477 A      7383 A   
  60.00 keV   3.032E+02  7.904E+00    1.70 um     8769 A      7709 A   
  65.00 keV   3.176E+02  7.566E+00    1.81 um     9036 A      8013 A   
  70.00 keV   3.315E+02  7.261E+00    1.92 um     9283 A      8300 A   
  80.00 keV   3.578E+02  6.728E+00    2.14 um     9722 A      8826 A   
  90.00 keV   3.822E+02  6.279E+00    2.36 um     1.01 um     9299 A   
 100.00 keV   4.051E+02  5.894E+00    2.56 um     1.04 um     9729 A   
 110.00 keV   4.265E+02  5.560E+00    2.75 um     1.07 um     1.01 um  
 120.00 keV   4.466E+02  5.266E+00    2.94 um     1.10 um     1.05 um  
 130.00 keV   4.655E+02  5.007E+00    3.13 um     1.13 um     1.08 um  
 140.00 keV   4.832E+02  4.775E+00    3.31 um     1.15 um     1.11 um  
 150.00 keV   5.000E+02  4.566E+00    3.48 um     1.17 um     1.14 um  
 160.00 keV   5.158E+02  4.378E+00    3.65 um     1.19 um     1.17 um  
 170.00 keV   5.307E+02  4.206E+00    3.82 um     1.20 um     1.20 um  
 180.00 keV   5.447E+02  4.049E+00    3.99 um     1.22 um     1.22 um  
 200.00 keV   5.705E+02  3.772E+00    4.30 um     1.25 um     1.27 um  
 225.00 keV   5.989E+02  3.480E+00    4.69 um     1.28 um     1.32 um  
 250.00 keV   6.235E+02  3.235E+00    5.06 um     1.31 um     1.37 um  
 275.00 keV   6.448E+02  3.026E+00    5.43 um     1.34 um     1.41 um  
 300.00 keV   6.632E+02  2.846E+00    5.78 um     1.36 um     1.45 um  
 325.00 keV   6.791E+02  2.688E+00    6.13 um     1.38 um     1.49 um  
 350.00 keV   6.927E+02  2.548E+00    6.47 um     1.40 um     1.53 um  
 375.00 keV   7.043E+02  2.424E+00    6.81 um     1.42 um     1.56 um  
 400.00 keV   7.142E+02  2.312E+00    7.14 um     1.44 um     1.59 um  
 450.00 keV   7.295E+02  2.121E+00    7.80 um     1.47 um     1.65 um  
 500.00 keV   7.398E+02  1.961E+00    8.45 um     1.50 um     1.71 um  
 550.00 keV   7.463E+02  1.826E+00    9.09 um     1.53 um     1.76 um  
 600.00 keV   7.496E+02  1.710E+00    9.74 um     1.56 um     1.82 um  
 650.00 keV   7.505E+02  1.609E+00   10.38 um     1.58 um     1.86 um  
 700.00 keV   7.495E+02  1.521E+00   11.03 um     1.60 um     1.91 um  
 800.00 keV   7.431E+02  1.373E+00   12.33 um     1.65 um     2.00 um  
 900.00 keV   7.328E+02  1.253E+00   13.65 um     1.70 um     2.09 um  
   1.00 MeV   7.202E+02  1.154E+00   14.99 um     1.74 um     2.18 um  
   1.10 MeV   7.062E+02  1.071E+00   16.37 um     1.79 um     2.26 um  
   1.20 MeV   6.916E+02  1.000E+00   17.77 um     1.83 um     2.35 um  
   1.30 MeV   6.767E+02  9.387E-01   19.20 um     1.88 um     2.43 um  
   1.40 MeV   6.619E+02  8.849E-01   20.67 um     1.92 um     2.52 um  
   1.50 MeV   6.473E+02  8.375E-01   22.17 um     1.96 um     2.60 um  
   1.60 MeV   6.330E+02  7.953E-01   23.71 um     2.01 um     2.69 um  
   1.70 MeV   6.192E+02  7.575E-01   25.29 um     2.05 um     2.78 um  
   1.80 MeV   6.058E+02  7.234E-01   26.90 um     2.09 um     2.86 um  
   2.00 MeV   5.805E+02  6.643E-01   30.22 um     2.21 um     3.04 um  
   2.25 MeV   5.516E+02  6.037E-01   34.59 um     2.37 um     3.28 um  
   2.50 MeV   5.255E+02  5.539E-01   39.18 um     2.54 um     3.52 um  
   2.75 MeV   5.019E+02  5.123E-01   43.99 um     2.71 um     3.77 um  
   3.00 MeV   4.805E+02  4.769E-01   49.03 um     2.89 um     4.03 um  
   3.25 MeV   4.611E+02  4.464E-01   54.29 um     3.07 um     4.30 um  
   3.50 MeV   4.434E+02  4.198E-01   59.77 um     3.25 um     4.58 um  
   3.75 MeV   4.273E+02  3.965E-01   65.46 um     3.44 um     4.86 um  
   4.00 MeV   4.124E+02  3.758E-01   71.36 um     3.63 um     5.16 um  
   4.50 MeV   3.861E+02  3.406E-01   83.79 um     4.21 um     5.79 um  
   5.00 MeV   3.635E+02  3.118E-01   97.03 um     4.79 um     6.45 um  
   5.50 MeV   3.438E+02  2.878E-01  111.07 um     5.37 um     7.14 um  
   6.00 MeV   3.265E+02  2.675E-01  125.89 um     5.95 um     7.87 um  
   6.50 MeV   3.112E+02  2.500E-01  141.46 um     6.54 um     8.63 um  
   7.00 MeV   2.976E+02  2.348E-01  157.78 um     7.14 um     9.43 um  
   8.00 MeV   2.742E+02  2.096E-01  192.56 um     9.04 um    11.11 um  
   9.00 MeV   2.578E+02  1.896E-01  229.94 um    10.85 um    12.90 um  
  10.00 MeV   2.419E+02  1.733E-01  269.75 um    12.61 um    14.78 um  
