#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.474E+01  1.128E+01    3858 A      4579 A      3468 A   
  11.00 keV   7.885E+01  1.109E+01    4229 A      4876 A      3704 A   
  12.00 keV   8.287E+01  1.090E+01    4598 A      5160 A      3933 A   
  13.00 keV   8.681E+01  1.071E+01    4967 A      5433 A      4154 A   
  14.00 keV   9.068E+01  1.053E+01    5335 A      5696 A      4369 A   
  15.00 keV   9.449E+01  1.035E+01    5702 A      5949 A      4577 A   
  16.00 keV   9.824E+01  1.017E+01    6067 A      6193 A      4779 A   
  17.00 keV   1.019E+02  1.001E+01    6431 A      6428 A      4975 A   
  18.00 keV   1.056E+02  9.845E+00    6793 A      6655 A      5166 A   
  20.00 keV   1.127E+02  9.537E+00    7514 A      7084 A      5534 A   
  22.50 keV   1.214E+02  9.180E+00    8405 A      7583 A      5968 A   
  25.00 keV   1.299E+02  8.851E+00    9284 A      8046 A      6376 A   
  27.50 keV   1.382E+02  8.549E+00    1.01 um     8476 A      6761 A   
  30.00 keV   1.463E+02  8.269E+00    1.10 um     8877 A      7125 A   
  32.50 keV   1.542E+02  8.010E+00    1.18 um     9252 A      7470 A   
  35.00 keV   1.620E+02  7.769E+00    1.27 um     9603 A      7798 A   
  37.50 keV   1.696E+02  7.544E+00    1.35 um     9934 A      8111 A   
  40.00 keV   1.771E+02  7.334E+00    1.43 um     1.02 um     8409 A   
  45.00 keV   1.917E+02  6.954E+00    1.59 um     1.08 um     8969 A   
  50.00 keV   2.058E+02  6.617E+00    1.74 um     1.13 um     9483 A   
  55.00 keV   2.195E+02  6.316E+00    1.89 um     1.18 um     9958 A   
  60.00 keV   2.327E+02  6.046E+00    2.03 um     1.22 um     1.04 um  
  65.00 keV   2.456E+02  5.802E+00    2.17 um     1.26 um     1.08 um  
  70.00 keV   2.580E+02  5.579E+00    2.31 um     1.29 um     1.12 um  
