# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.434E+01  5.883E+00    4479 A      6414 A      4773 A   
  11.00 keV   5.721E+01  5.849E+00    4884 A      6815 A      5082 A   
  12.00 keV   5.998E+01  5.809E+00    5288 A      7201 A      5382 A   
  13.00 keV   6.265E+01  5.765E+00    5692 A      7574 A      5673 A   
  14.00 keV   6.525E+01  5.718E+00    6095 A      7935 A      5955 A   
  15.00 keV   6.777E+01  5.670E+00    6497 A      8284 A      6230 A   
  16.00 keV   7.023E+01  5.620E+00    6899 A      8623 A      6499 A   
  17.00 keV   7.262E+01  5.570E+00    7301 A      8953 A      6761 A   
  18.00 keV   7.497E+01  5.520E+00    7701 A      9273 A      7017 A   
  20.00 keV   7.951E+01  5.418E+00    8503 A      9886 A      7515 A   
  22.50 keV   8.494E+01  5.293E+00    9501 A      1.06 um     8110 A   
  25.00 keV   9.016E+01  5.171E+00    1.05 um     1.13 um     8676 A   
  27.50 keV   9.517E+01  5.053E+00    1.15 um     1.19 um     9217 A   
  30.00 keV   1.000E+02  4.940E+00    1.25 um     1.26 um     9737 A   
  32.50 keV   1.047E+02  4.832E+00    1.34 um     1.32 um     1.02 um  
  35.00 keV   1.093E+02  4.728E+00    1.44 um     1.37 um     1.07 um  
  37.50 keV   1.137E+02  4.629E+00    1.54 um     1.43 um     1.12 um  
  40.00 keV   1.181E+02  4.535E+00    1.63 um     1.48 um     1.16 um  
  45.00 keV   1.264E+02  4.358E+00    1.82 um     1.57 um     1.25 um  
  50.00 keV   1.344E+02  4.196E+00    2.01 um     1.66 um     1.33 um  
  55.00 keV   1.421E+02  4.047E+00    2.20 um     1.75 um     1.41 um  
  60.00 keV   1.495E+02  3.910E+00    2.38 um     1.82 um     1.48 um  
  65.00 keV   1.567E+02  3.784E+00    2.56 um     1.90 um     1.55 um  
  70.00 keV   1.636E+02  3.666E+00    2.73 um     1.96 um     1.61 um  
  80.00 keV   1.769E+02  3.456E+00    3.08 um     2.09 um     1.74 um  
  90.00 keV   1.894E+02  3.272E+00    3.42 um     2.20 um     1.85 um  
 100.00 keV   2.013E+02  3.109E+00    3.75 um     2.30 um     1.95 um  
 110.00 keV   2.125E+02  2.965E+00    4.07 um     2.39 um     2.05 um  
 120.00 keV   2.233E+02  2.835E+00    4.38 um     2.48 um     2.14 um  
 130.00 keV   2.335E+02  2.718E+00    4.69 um     2.55 um     2.23 um  
 140.00 keV   2.433E+02  2.612E+00    4.99 um     2.62 um     2.31 um  
 150.00 keV   2.527E+02  2.516E+00    5.29 um     2.69 um     2.39 um  
 160.00 keV   2.617E+02  2.427E+00    5.57 um     2.75 um     2.46 um  
 170.00 keV   2.703E+02  2.345E+00    5.86 um     2.81 um     2.53 um  
 180.00 keV   2.785E+02  2.270E+00    6.14 um     2.87 um     2.60 um  
 200.00 keV   2.940E+02  2.134E+00    6.68 um     2.97 um     2.72 um  
 225.00 keV   3.116E+02  1.989E+00    7.34 um     3.08 um     2.86 um  
 250.00 keV   3.273E+02  1.865E+00    7.98 um     3.18 um     2.99 um  
 275.00 keV   3.415E+02  1.758E+00    8.60 um     3.27 um     3.11 um  
 300.00 keV   3.541E+02  1.664E+00    9.21 um     3.35 um     3.22 um  
 325.00 keV   3.654E+02  1.581E+00    9.80 um     3.42 um     3.33 um  
 350.00 keV   3.755E+02  1.507E+00   10.38 um     3.49 um     3.43 um  
 375.00 keV   3.844E+02  1.440E+00   10.96 um     3.55 um     3.52 um  
 400.00 keV   3.923E+02  1.380E+00   11.52 um     3.61 um     3.61 um  
 450.00 keV   4.053E+02  1.275E+00   12.63 um     3.72 um     3.78 um  
 500.00 keV   4.151E+02  1.187E+00   13.73 um     3.82 um     3.94 um  
 550.00 keV   4.223E+02  1.111E+00   14.81 um     3.91 um     4.09 um  
 600.00 keV   4.274E+02  1.046E+00   15.89 um     4.00 um     4.23 um  
 650.00 keV   4.307E+02  9.886E-01   16.96 um     4.07 um     4.36 um  
 700.00 keV   4.325E+02  9.380E-01   18.04 um     4.15 um     4.49 um  
 800.00 keV   4.329E+02  8.524E-01   20.19 um     4.29 um     4.75 um  
 900.00 keV   4.300E+02  7.825E-01   22.37 um     4.43 um     4.99 um  
   1.00 MeV   4.250E+02  7.244E-01   24.58 um     4.56 um     5.22 um  
   1.10 MeV   4.187E+02  6.751E-01   26.83 um     4.68 um     5.46 um  
   1.20 MeV   4.117E+02  6.327E-01   29.12 um     4.80 um     5.68 um  
   1.30 MeV   4.041E+02  5.958E-01   31.47 um     4.92 um     5.91 um  
   1.40 MeV   3.963E+02  5.634E-01   33.86 um     5.04 um     6.14 um  
   1.50 MeV   3.885E+02  5.346E-01   36.31 um     5.16 um     6.37 um  
   1.60 MeV   3.808E+02  5.090E-01   38.81 um     5.28 um     6.60 um  
   1.70 MeV   3.732E+02  4.859E-01   41.37 um     5.39 um     6.84 um  
   1.80 MeV   3.658E+02  4.650E-01   43.98 um     5.51 um     7.07 um  
   2.00 MeV   3.516E+02  4.286E-01   49.38 um     5.77 um     7.55 um  
   2.25 MeV   3.352E+02  3.911E-01   56.44 um     6.11 um     8.17 um  
   2.50 MeV   3.203E+02  3.601E-01   63.86 um     6.47 um     8.81 um  
   2.75 MeV   3.068E+02  3.340E-01   71.62 um     6.83 um     9.47 um  
   3.00 MeV   2.946E+02  3.118E-01   79.73 um     7.20 um    10.15 um  
   3.25 MeV   2.834E+02  2.925E-01   88.17 um     7.58 um    10.86 um  
   3.50 MeV   2.732E+02  2.757E-01   96.95 um     7.97 um    11.59 um  
   3.75 MeV   2.639E+02  2.609E-01  106.05 um     8.37 um    12.34 um  
   4.00 MeV   2.553E+02  2.477E-01  115.47 um     8.78 um    13.11 um  
   4.50 MeV   2.401E+02  2.252E-01  135.25 um     9.82 um    14.72 um  
   5.00 MeV   2.270E+02  2.067E-01  156.26 um    10.88 um    16.41 um  
   5.50 MeV   2.155E+02  1.913E-01  178.44 um    11.97 um    18.19 um  
   6.00 MeV   2.055E+02  1.781E-01  201.77 um    13.08 um    20.04 um  
   6.50 MeV   1.966E+02  1.668E-01  226.21 um    14.21 um    21.96 um  
   7.00 MeV   1.886E+02  1.569E-01  251.74 um    15.36 um    23.95 um  
   8.00 MeV   1.749E+02  1.405E-01  305.92 um    18.52 um    28.15 um  
   9.00 MeV   1.656E+02  1.274E-01  363.77 um    21.63 um    32.57 um  
  10.00 MeV   1.566E+02  1.167E-01  424.96 um    24.71 um    37.18 um  
