# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.800E+02  2.855E+01    2740 A      1984 A      1595 A   
  11.00 keV   1.891E+02  2.756E+01    3002 A      2103 A      1702 A   
  12.00 keV   1.980E+02  2.665E+01    3262 A      2216 A      1805 A   
  13.00 keV   2.065E+02  2.581E+01    3520 A      2323 A      1904 A   
  14.00 keV   2.148E+02  2.502E+01    3775 A      2425 A      2000 A   
  15.00 keV   2.228E+02  2.429E+01    4028 A      2522 A      2092 A   
  16.00 keV   2.306E+02  2.361E+01    4278 A      2614 A      2181 A   
  17.00 keV   2.382E+02  2.297E+01    4527 A      2702 A      2267 A   
  18.00 keV   2.457E+02  2.237E+01    4772 A      2786 A      2350 A   
  20.00 keV   2.601E+02  2.128E+01    5257 A      2944 A      2509 A   
  22.50 keV   2.773E+02  2.008E+01    5849 A      3123 A      2694 A   
  25.00 keV   2.937E+02  1.903E+01    6428 A      3286 A      2867 A   
  27.50 keV   3.094E+02  1.809E+01    6993 A      3435 A      3029 A   
  30.00 keV   3.245E+02  1.726E+01    7545 A      3572 A      3180 A   
  32.50 keV   3.391E+02  1.652E+01    8084 A      3699 A      3323 A   
  35.00 keV   3.532E+02  1.585E+01    8613 A      3816 A      3457 A   
  37.50 keV   3.668E+02  1.523E+01    9130 A      3924 A      3585 A   
  40.00 keV   3.801E+02  1.467E+01    9637 A      4026 A      3706 A   
  45.00 keV   4.054E+02  1.369E+01    1.06 um     4210 A      3931 A   
  50.00 keV   4.295E+02  1.284E+01    1.16 um     4372 A      4136 A   
  55.00 keV   4.524E+02  1.211E+01    1.25 um     4518 A      4324 A   
  60.00 keV   4.743E+02  1.147E+01    1.34 um     4648 A      4497 A   
  65.00 keV   4.952E+02  1.090E+01    1.42 um     4767 A      4658 A   
  70.00 keV   5.153E+02  1.039E+01    1.51 um     4875 A      4809 A   
  80.00 keV   5.532E+02  9.520E+00    1.67 um     5066 A      5081 A   
  90.00 keV   5.883E+02  8.801E+00    1.82 um     5230 A      5323 A   
 100.00 keV   6.211E+02  8.196E+00    1.97 um     5373 A      5540 A   
 110.00 keV   6.517E+02  7.678E+00    2.11 um     5498 A      5737 A   
 120.00 keV   6.804E+02  7.228E+00    2.25 um     5610 A      5917 A   
 130.00 keV   7.073E+02  6.835E+00    2.38 um     5710 A      6083 A   
 140.00 keV   7.326E+02  6.486E+00    2.50 um     5801 A      6236 A   
 150.00 keV   7.564E+02  6.176E+00    2.63 um     5884 A      6379 A   
 160.00 keV   7.789E+02  5.897E+00    2.75 um     5960 A      6512 A   
 170.00 keV   8.000E+02  5.645E+00    2.87 um     6031 A      6638 A   
