# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.328E+01  6.871E+00    4537 A      7073 A      5233 A   
  11.00 keV   4.573E+01  6.816E+00    4964 A      7537 A      5587 A   
  12.00 keV   4.808E+01  6.756E+00    5391 A      7985 A      5931 A   
  13.00 keV   5.036E+01  6.693E+00    5819 A      8418 A      6265 A   
  14.00 keV   5.257E+01  6.627E+00    6248 A      8838 A      6589 A   
  15.00 keV   5.472E+01  6.561E+00    6677 A      9245 A      6906 A   
  16.00 keV   5.680E+01  6.494E+00    7107 A      9640 A      7216 A   
  17.00 keV   5.884E+01  6.426E+00    7538 A      1.00 um     7518 A   
  18.00 keV   6.083E+01  6.359E+00    7969 A      1.04 um     7814 A   
  20.00 keV   6.467E+01  6.226E+00    8834 A      1.11 um     8392 A   
  22.50 keV   6.927E+01  6.065E+00    9917 A      1.20 um     9083 A   
  25.00 keV   7.366E+01  5.910E+00    1.10 um     1.28 um     9743 A   
  27.50 keV   7.787E+01  5.762E+00    1.21 um     1.35 um     1.04 um  
  30.00 keV   8.193E+01  5.621E+00    1.32 um     1.43 um     1.10 um  
  32.50 keV   8.585E+01  5.488E+00    1.42 um     1.50 um     1.16 um  
  35.00 keV   8.965E+01  5.361E+00    1.53 um     1.57 um     1.21 um  
  37.50 keV   9.334E+01  5.240E+00    1.64 um     1.63 um     1.27 um  
  40.00 keV   9.693E+01  5.125E+00    1.75 um     1.69 um     1.32 um  
  45.00 keV   1.038E+02  4.911E+00    1.96 um     1.81 um     1.43 um  
  50.00 keV   1.104E+02  4.717E+00    2.17 um     1.92 um     1.52 um  
  55.00 keV   1.167E+02  4.541E+00    2.38 um     2.02 um     1.61 um  
  60.00 keV   1.228E+02  4.378E+00    2.58 um     2.11 um     1.70 um  
  65.00 keV   1.286E+02  4.229E+00    2.79 um     2.20 um     1.78 um  
  70.00 keV   1.342E+02  4.092E+00    2.99 um     2.29 um     1.86 um  
  80.00 keV   1.449E+02  3.846E+00    3.39 um     2.44 um     2.02 um  
  90.00 keV   1.550E+02  3.633E+00    3.78 um     2.58 um     2.15 um  
 100.00 keV   1.646E+02  3.446E+00    4.17 um     2.71 um     2.28 um  
 110.00 keV   1.737E+02  3.280E+00    4.54 um     2.82 um     2.41 um  
 120.00 keV   1.823E+02  3.132E+00    4.91 um     2.93 um     2.52 um  
 130.00 keV   1.906E+02  2.998E+00    5.27 um     3.03 um     2.63 um  
 140.00 keV   1.985E+02  2.878E+00    5.62 um     3.12 um     2.73 um  
 150.00 keV   2.061E+02  2.768E+00    5.97 um     3.21 um     2.83 um  
 160.00 keV   2.134E+02  2.667E+00    6.31 um     3.29 um     2.92 um  
 170.00 keV   2.203E+02  2.575E+00    6.65 um     3.36 um     3.01 um  
 180.00 keV   2.270E+02  2.490E+00    6.98 um     3.43 um     3.09 um  
 200.00 keV   2.397E+02  2.338E+00    7.63 um     3.56 um     3.25 um  
 225.00 keV   2.543E+02  2.175E+00    8.42 um     3.71 um     3.43 um  
 250.00 keV   2.675E+02  2.037E+00    9.18 um     3.84 um     3.60 um  
 275.00 keV   2.797E+02  1.917E+00    9.92 um     3.95 um     3.75 um  
 300.00 keV   2.908E+02  1.813E+00   10.64 um     4.06 um     3.90 um  
 325.00 keV   3.009E+02  1.721E+00   11.35 um     4.15 um     4.03 um  
 350.00 keV   3.102E+02  1.638E+00   12.04 um     4.24 um     4.16 um  
 375.00 keV   3.186E+02  1.565E+00   12.72 um     4.32 um     4.28 um  
 400.00 keV   3.264E+02  1.498E+00   13.39 um     4.40 um     4.39 um  
 450.00 keV   3.398E+02  1.383E+00   14.71 um     4.54 um     4.61 um  
 500.00 keV   3.509E+02  1.286E+00   15.99 um     4.67 um     4.80 um  
 550.00 keV   3.599E+02  1.203E+00   17.25 um     4.78 um     4.99 um  
 600.00 keV   3.672E+02  1.131E+00   18.50 um     4.89 um     5.16 um  
 650.00 keV   3.729E+02  1.068E+00   19.73 um     4.98 um     5.33 um  
 700.00 keV   3.773E+02  1.013E+00   20.95 um     5.08 um     5.49 um  
 800.00 keV   3.828E+02  9.194E-01   23.39 um     5.25 um     5.79 um  
 900.00 keV   3.848E+02  8.433E-01   25.82 um     5.41 um     6.07 um  
   1.00 MeV   3.843E+02  7.800E-01   28.26 um     5.56 um     6.34 um  
   1.10 MeV   3.819E+02  7.264E-01   30.73 um     5.70 um     6.60 um  
   1.20 MeV   3.782E+02  6.803E-01   33.22 um     5.83 um     6.86 um  
   1.30 MeV   3.735E+02  6.403E-01   35.76 um     5.96 um     7.11 um  
   1.40 MeV   3.682E+02  6.052E-01   38.33 um     6.09 um     7.36 um  
   1.50 MeV   3.624E+02  5.741E-01   40.96 um     6.21 um     7.61 um  
   1.60 MeV   3.564E+02  5.463E-01   43.63 um     6.34 um     7.86 um  
   1.70 MeV   3.503E+02  5.213E-01   46.35 um     6.46 um     8.11 um  
   1.80 MeV   3.441E+02  4.987E-01   49.12 um     6.58 um     8.36 um  
   2.00 MeV   3.320E+02  4.594E-01   54.84 um     6.85 um     8.86 um  
   2.25 MeV   3.176E+02  4.189E-01   62.29 um     7.20 um     9.51 um  
   2.50 MeV   3.044E+02  3.855E-01   70.10 um     7.56 um    10.17 um  
   2.75 MeV   2.923E+02  3.574E-01   78.25 um     7.92 um    10.86 um  
   3.00 MeV   2.813E+02  3.334E-01   86.74 um     8.29 um    11.56 um  
   3.25 MeV   2.714E+02  3.127E-01   95.57 um     8.67 um    12.28 um  
   3.50 MeV   2.625E+02  2.947E-01  104.71 um     9.06 um    13.02 um  
