# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.885E+01  8.609E+00    4124 A      5643 A      4217 A   
  11.00 keV   6.223E+01  8.512E+00    4512 A      6006 A      4499 A   
  12.00 keV   6.549E+01  8.411E+00    4898 A      6355 A      4772 A   
  13.00 keV   6.863E+01  8.309E+00    5285 A      6691 A      5037 A   
  14.00 keV   7.168E+01  8.206E+00    5670 A      7015 A      5294 A   
  15.00 keV   7.464E+01  8.103E+00    6056 A      7328 A      5543 A   
  16.00 keV   7.752E+01  8.001E+00    6441 A      7631 A      5786 A   
  17.00 keV   8.032E+01  7.901E+00    6826 A      7925 A      6023 A   
  18.00 keV   8.306E+01  7.802E+00    7211 A      8210 A      6254 A   
  20.00 keV   8.834E+01  7.609E+00    7980 A      8753 A      6704 A   
  22.50 keV   9.464E+01  7.380E+00    8938 A      9393 A      7239 A   
  25.00 keV   1.006E+02  7.164E+00    9892 A      9997 A      7747 A   
  27.50 keV   1.064E+02  6.960E+00    1.08 um     1.06 um     8232 A   
  30.00 keV   1.118E+02  6.769E+00    1.18 um     1.11 um     8697 A   
  32.50 keV   1.171E+02  6.588E+00    1.27 um     1.16 um     9144 A   
  35.00 keV   1.222E+02  6.419E+00    1.37 um     1.21 um     9574 A   
  37.50 keV   1.271E+02  6.259E+00    1.46 um     1.26 um     9990 A   
  40.00 keV   1.318E+02  6.108E+00    1.55 um     1.30 um     1.04 um  
  45.00 keV   1.409E+02  5.830E+00    1.73 um     1.39 um     1.12 um  
  50.00 keV   1.494E+02  5.580E+00    1.91 um     1.46 um     1.19 um  
  55.00 keV   1.575E+02  5.354E+00    2.09 um     1.53 um     1.26 um  
  60.00 keV   1.651E+02  5.148E+00    2.27 um     1.60 um     1.32 um  
  65.00 keV   1.724E+02  4.961E+00    2.44 um     1.66 um     1.38 um  
  70.00 keV   1.793E+02  4.788E+00    2.61 um     1.72 um     1.44 um  
  80.00 keV   1.924E+02  4.483E+00    2.95 um     1.83 um     1.55 um  
  90.00 keV   2.045E+02  4.220E+00    3.28 um     1.93 um     1.66 um  
 100.00 keV   2.157E+02  3.991E+00    3.60 um     2.01 um     1.75 um  
 110.00 keV   2.262E+02  3.789E+00    3.91 um     2.09 um     1.84 um  
 120.00 keV   2.360E+02  3.610E+00    4.22 um     2.17 um     1.93 um  
 130.00 keV   2.453E+02  3.449E+00    4.53 um     2.24 um     2.01 um  
 140.00 keV   2.540E+02  3.305E+00    4.83 um     2.30 um     2.08 um  
 150.00 keV   2.622E+02  3.173E+00    5.12 um     2.36 um     2.15 um  
 160.00 keV   2.700E+02  3.054E+00    5.41 um     2.42 um     2.22 um  
 170.00 keV   2.774E+02  2.944E+00    5.69 um     2.47 um     2.29 um  
 180.00 keV   2.844E+02  2.843E+00    5.97 um     2.52 um     2.35 um  
 200.00 keV   2.973E+02  2.663E+00    6.53 um     2.61 um     2.47 um  
 225.00 keV   3.118E+02  2.472E+00    7.20 um     2.71 um     2.61 um  
 250.00 keV   3.247E+02  2.310E+00    7.85 um     2.80 um     2.73 um  
 275.00 keV   3.360E+02  2.171E+00    8.50 um     2.89 um     2.85 um  
 300.00 keV   3.461E+02  2.049E+00    9.13 um     2.97 um     2.96 um  
 325.00 keV   3.551E+02  1.942E+00    9.74 um     3.04 um     3.07 um  
 350.00 keV   3.631E+02  1.847E+00   10.36 um     3.10 um     3.17 um  
 375.00 keV   3.703E+02  1.762E+00   10.96 um     3.16 um     3.27 um  
 400.00 keV   3.766E+02  1.685E+00   11.55 um     3.22 um     3.36 um  
 450.00 keV   3.872E+02  1.553E+00   12.73 um     3.33 um     3.53 um  
 500.00 keV   3.956E+02  1.441E+00   13.89 um     3.43 um     3.69 um  
 550.00 keV   4.020E+02  1.347E+00   15.04 um     3.52 um     3.84 um  
 600.00 keV   4.069E+02  1.265E+00   16.18 um     3.60 um     3.99 um  
 650.00 keV   4.106E+02  1.194E+00   17.32 um     3.68 um     4.13 um  
 700.00 keV   4.131E+02  1.131E+00   18.45 um     3.76 um     4.26 um  
 800.00 keV   4.158E+02  1.025E+00   20.71 um     3.91 um     4.52 um  
 900.00 keV   4.159E+02  9.386E-01   22.99 um     4.04 um     4.77 um  
   1.00 MeV   4.142E+02  8.671E-01   25.28 um     4.17 um     5.00 um  
   1.10 MeV   4.114E+02  8.067E-01   27.59 um     4.29 um     5.23 um  
   1.20 MeV   4.076E+02  7.549E-01   29.92 um     4.41 um     5.46 um  
   1.30 MeV   4.032E+02  7.099E-01   32.29 um     4.52 um     5.68 um  
   1.40 MeV   3.985E+02  6.705E-01   34.69 um     4.63 um     5.90 um  
   1.50 MeV   3.934E+02  6.356E-01   37.13 um     4.74 um     6.12 um  
   1.60 MeV   3.882E+02  6.045E-01   39.60 um     4.85 um     6.34 um  
   1.70 MeV   3.830E+02  5.765E-01   42.11 um     4.96 um     6.55 um  
   1.80 MeV   3.776E+02  5.513E-01   44.66 um     5.06 um     6.77 um  
   2.00 MeV   3.671E+02  5.074E-01   49.88 um     5.30 um     7.20 um  
   2.25 MeV   3.544E+02  4.622E-01   56.63 um     5.61 um     7.74 um  
   2.50 MeV   3.422E+02  4.250E-01   63.63 um     5.91 um     8.29 um  
   2.75 MeV   3.308E+02  3.937E-01   70.89 um     6.22 um     8.85 um  
   3.00 MeV   3.202E+02  3.671E-01   78.41 um     6.53 um     9.42 um  
   3.25 MeV   3.102E+02  3.442E-01   86.18 um     6.85 um    10.00 um  
