# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.984E+01  5.703E+00    4761 A      7707 A      5686 A   
  11.00 keV   4.198E+01  5.671E+00    5203 A      8210 A      6068 A   
  12.00 keV   4.406E+01  5.635E+00    5646 A      8697 A      6439 A   
  13.00 keV   4.610E+01  5.595E+00    6089 A      9167 A      6800 A   
  14.00 keV   4.809E+01  5.551E+00    6532 A      9624 A      7151 A   
  15.00 keV   5.005E+01  5.506E+00    6976 A      1.01 um     7493 A   
  16.00 keV   5.197E+01  5.460E+00    7420 A      1.05 um     7827 A   
  17.00 keV   5.387E+01  5.413E+00    7864 A      1.09 um     8154 A   
  18.00 keV   5.573E+01  5.365E+00    8308 A      1.13 um     8473 A   
  20.00 keV   5.937E+01  5.269E+00    9198 A      1.21 um     9095 A   
  22.50 keV   6.379E+01  5.150E+00    1.03 um     1.30 um     9838 A   
  25.00 keV   6.809E+01  5.035E+00    1.14 um     1.39 um     1.05 um  
  27.50 keV   7.227E+01  4.922E+00    1.25 um     1.47 um     1.12 um  
  30.00 keV   7.634E+01  4.814E+00    1.36 um     1.55 um     1.19 um  
  32.50 keV   8.033E+01  4.711E+00    1.47 um     1.63 um     1.25 um  
  35.00 keV   8.424E+01  4.612E+00    1.58 um     1.70 um     1.31 um  
  37.50 keV   8.807E+01  4.517E+00    1.69 um     1.77 um     1.37 um  
  40.00 keV   9.183E+01  4.426E+00    1.80 um     1.83 um     1.42 um  
  45.00 keV   9.916E+01  4.256E+00    2.01 um     1.96 um     1.53 um  
  50.00 keV   1.063E+02  4.100E+00    2.22 um     2.07 um     1.63 um  
  55.00 keV   1.132E+02  3.956E+00    2.43 um     2.17 um     1.72 um  
  60.00 keV   1.199E+02  3.824E+00    2.64 um     2.27 um     1.81 um  
  65.00 keV   1.265E+02  3.701E+00    2.84 um     2.36 um     1.90 um  
