# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.632E+02  2.678E+01    2868 A      2164 A      1730 A   
  11.00 keV   1.713E+02  2.588E+01    3146 A      2297 A      1848 A   
  12.00 keV   1.791E+02  2.504E+01    3421 A      2423 A      1962 A   
  13.00 keV   1.865E+02  2.426E+01    3695 A      2543 A      2072 A   
  14.00 keV   1.938E+02  2.354E+01    3967 A      2658 A      2178 A   
  15.00 keV   2.007E+02  2.286E+01    4238 A      2767 A      2280 A   
  16.00 keV   2.075E+02  2.223E+01    4506 A      2872 A      2379 A   
  17.00 keV   2.140E+02  2.164E+01    4772 A      2972 A      2476 A   
  18.00 keV   2.204E+02  2.109E+01    5036 A      3068 A      2569 A   
  20.00 keV   2.327E+02  2.007E+01    5559 A      3248 A      2748 A   
  22.50 keV   2.473E+02  1.896E+01    6200 A      3455 A      2958 A   
  25.00 keV   2.612E+02  1.798E+01    6830 A      3645 A      3155 A   
  27.50 keV   2.745E+02  1.711E+01    7447 A      3819 A      3340 A   
  30.00 keV   2.872E+02  1.633E+01    8052 A      3980 A      3514 A   
  32.50 keV   2.995E+02  1.564E+01    8645 A      4130 A      3680 A   
  35.00 keV   3.114E+02  1.501E+01    9228 A      4269 A      3836 A   
  37.50 keV   3.229E+02  1.443E+01    9800 A      4399 A      3985 A   
  40.00 keV   3.341E+02  1.391E+01    1.04 um     4520 A      4127 A   
  45.00 keV   3.555E+02  1.298E+01    1.15 um     4742 A      4392 A   
  50.00 keV   3.760E+02  1.219E+01    1.25 um     4940 A      4635 A   
  55.00 keV   3.956E+02  1.150E+01    1.35 um     5117 A      4858 A   
  60.00 keV   4.145E+02  1.089E+01    1.45 um     5277 A      5066 A   
  65.00 keV   4.327E+02  1.035E+01    1.55 um     5423 A      5259 A   
  70.00 keV   4.503E+02  9.876E+00    1.64 um     5556 A      5440 A   
  80.00 keV   4.840E+02  9.055E+00    1.83 um     5793 A      5768 A   
  90.00 keV   5.159E+02  8.376E+00    2.00 um     5996 A      6060 A   
 100.00 keV   5.462E+02  7.803E+00    2.16 um     6173 A      6322 A   
 110.00 keV   5.752E+02  7.312E+00    2.32 um     6328 A      6559 A   
 120.00 keV   6.029E+02  6.887E+00    2.47 um     6465 A      6776 A   
 130.00 keV   6.296E+02  6.514E+00    2.62 um     6589 A      6974 A   
 140.00 keV   6.552E+02  6.183E+00    2.76 um     6700 A      7157 A   
 150.00 keV   6.798E+02  5.889E+00    2.90 um     6801 A      7327 A   
 160.00 keV   7.035E+02  5.624E+00    3.03 um     6893 A      7485 A   
 170.00 keV   7.264E+02  5.385E+00    3.16 um     6977 A      7633 A   
 180.00 keV   7.484E+02  5.167E+00    3.29 um     7055 A      7771 A   
 200.00 keV   7.902E+02  4.786E+00    3.53 um     7198 A      8025 A   
 225.00 keV   8.383E+02  4.390E+00    3.82 um     7352 A      8305 A   
 250.00 keV   8.821E+02  4.060E+00    4.10 um     7485 A      8553 A   
 275.00 keV   9.220E+02  3.780E+00    4.36 um     7601 A      8776 A   
 300.00 keV   9.581E+02  3.541E+00    4.62 um     7704 A      8977 A   
 325.00 keV   9.908E+02  3.332E+00    4.87 um     7796 A      9162 A   
 350.00 keV   1.020E+03  3.149E+00    5.11 um     7879 A      9332 A   
 375.00 keV   1.046E+03  2.987E+00    5.34 um     7955 A      9490 A   
 400.00 keV   1.070E+03  2.842E+00    5.57 um     8025 A      9638 A   
 450.00 keV   1.108E+03  2.595E+00    6.02 um     8162 A      9908 A   
 500.00 keV   1.138E+03  2.390E+00    6.45 um     8284 A      1.02 um  
 550.00 keV   1.159E+03  2.218E+00    6.88 um     8395 A      1.04 um  
 600.00 keV   1.173E+03  2.071E+00    7.30 um     8496 A      1.06 um  
 650.00 keV   1.182E+03  1.944E+00    7.72 um     8591 A      1.08 um  
 700.00 keV   1.186E+03  1.833E+00    8.13 um     8681 A      1.10 um  
 800.00 keV   1.182E+03  1.647E+00    8.97 um     8887 A      1.13 um  
 900.00 keV   1.167E+03  1.498E+00    9.81 um     9082 A      1.17 um  
   1.00 MeV   1.146E+03  1.376E+00   10.66 um     9272 A      1.20 um  
   1.10 MeV   1.121E+03  1.274E+00   11.54 um     9459 A      1.23 um  
   1.20 MeV   1.093E+03  1.186E+00   12.43 um     9645 A      1.26 um  
   1.30 MeV   1.064E+03  1.111E+00   13.35 um     9833 A      1.29 um  
   1.40 MeV   1.035E+03  1.046E+00   14.30 um     1.00 um     1.32 um  
   1.50 MeV   1.007E+03  9.879E-01   15.27 um     1.02 um     1.35 um  
   1.60 MeV   9.787E+02  9.367E-01   16.27 um     1.04 um     1.39 um  
   1.70 MeV   9.517E+02  8.909E-01   17.30 um     1.06 um     1.42 um  
   1.80 MeV   9.258E+02  8.497E-01   18.36 um     1.08 um     1.45 um  
   2.00 MeV   8.771E+02  7.784E-01   20.56 um     1.15 um     1.52 um  
   2.25 MeV   8.224E+02  7.056E-01   23.49 um     1.24 um     1.61 um  
   2.50 MeV   7.740E+02  6.460E-01   26.61 um     1.35 um     1.70 um  
   2.75 MeV   7.311E+02  5.963E-01   29.92 um     1.45 um     1.80 um  
   3.00 MeV   6.930E+02  5.542E-01   33.41 um     1.56 um     1.91 um  
   3.25 MeV   6.590E+02  5.180E-01   37.10 um     1.67 um     2.02 um  
   3.50 MeV   6.284E+02  4.865E-01   40.97 um     1.79 um     2.14 um  
   3.75 MeV   6.009E+02  4.588E-01   45.02 um     1.91 um     2.27 um  
   4.00 MeV   5.759E+02  4.343E-01   49.25 um     2.04 um     2.40 um  
   4.50 MeV   5.325E+02  3.929E-01   58.25 um     2.46 um     2.68 um  
   5.00 MeV   4.960E+02  3.591E-01   67.95 um     2.88 um     2.99 um  
   5.50 MeV   4.648E+02  3.309E-01   78.33 um     3.29 um     3.31 um  
   6.00 MeV   4.378E+02  3.071E-01   89.38 um     3.71 um     3.66 um  
   6.50 MeV   4.142E+02  2.867E-01  101.08 um     4.13 um     4.04 um  
   7.00 MeV   3.935E+02  2.690E-01  113.43 um     4.56 um     4.43 um  
   8.00 MeV   3.585E+02  2.397E-01  139.98 um     6.03 um     5.27 um  
   9.00 MeV   3.344E+02  2.164E-01  168.79 um     7.41 um     6.19 um  
  10.00 MeV   3.113E+02  1.975E-01  199.70 um     8.74 um     7.16 um  
