# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.628E+01  7.786E+00    4226 A      5877 A      4385 A   
  11.00 keV   5.909E+01  7.709E+00    4623 A      6259 A      4682 A   
  12.00 keV   6.181E+01  7.628E+00    5021 A      6628 A      4970 A   
  13.00 keV   6.444E+01  7.545E+00    5420 A      6986 A      5250 A   
  14.00 keV   6.699E+01  7.460E+00    5819 A      7333 A      5524 A   
  15.00 keV   6.948E+01  7.375E+00    6218 A      7671 A      5791 A   
  16.00 keV   7.190E+01  7.289E+00    6618 A      7999 A      6052 A   
  17.00 keV   7.426E+01  7.205E+00    7017 A      8318 A      6308 A   
  18.00 keV   7.656E+01  7.121E+00    7417 A      8629 A      6558 A   
  20.00 keV   8.103E+01  6.957E+00    8219 A      9224 A      7047 A   
  22.50 keV   8.637E+01  6.760E+00    9220 A      9931 A      7631 A   
  25.00 keV   9.147E+01  6.573E+00    1.02 um     1.06 um     8190 A   
  27.50 keV   9.637E+01  6.396E+00    1.12 um     1.12 um     8726 A   
  30.00 keV   1.011E+02  6.229E+00    1.22 um     1.18 um     9241 A   
  32.50 keV   1.056E+02  6.070E+00    1.32 um     1.24 um     9738 A   
  35.00 keV   1.100E+02  5.921E+00    1.42 um     1.30 um     1.02 um  
  37.50 keV   1.143E+02  5.779E+00    1.52 um     1.35 um     1.07 um  
  40.00 keV   1.185E+02  5.645E+00    1.61 um     1.40 um     1.11 um  
  45.00 keV   1.265E+02  5.398E+00    1.81 um     1.50 um     1.20 um  
  50.00 keV   1.340E+02  5.174E+00    2.00 um     1.58 um     1.28 um  
  55.00 keV   1.413E+02  4.971E+00    2.19 um     1.67 um     1.36 um  
  60.00 keV   1.482E+02  4.786E+00    2.38 um     1.74 um     1.43 um  
  65.00 keV   1.549E+02  4.617E+00    2.56 um     1.82 um     1.50 um  
  70.00 keV   1.613E+02  4.461E+00    2.74 um     1.88 um     1.57 um  
  80.00 keV   1.734E+02  4.183E+00    3.10 um     2.01 um     1.69 um  
  90.00 keV   1.847E+02  3.944E+00    3.45 um     2.12 um     1.81 um  
 100.00 keV   1.953E+02  3.734E+00    3.80 um     2.22 um     1.92 um  
 110.00 keV   2.053E+02  3.549E+00    4.14 um     2.32 um     2.02 um  
 120.00 keV   2.147E+02  3.385E+00    4.47 um     2.40 um     2.11 um  
 130.00 keV   2.236E+02  3.237E+00    4.79 um     2.48 um     2.20 um  
 140.00 keV   2.320E+02  3.104E+00    5.11 um     2.56 um     2.29 um  
 150.00 keV   2.400E+02  2.982E+00    5.42 um     2.62 um     2.37 um  
 160.00 keV   2.476E+02  2.872E+00    5.73 um     2.69 um     2.45 um  
 170.00 keV   2.548E+02  2.770E+00    6.03 um     2.75 um     2.52 um  
 180.00 keV   2.617E+02  2.677E+00    6.33 um     2.81 um     2.59 um  
 200.00 keV   2.745E+02  2.510E+00    6.92 um     2.91 um     2.73 um  
 225.00 keV   2.888E+02  2.332E+00    7.63 um     3.03 um     2.88 um  
