# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.787E+01  1.109E+01    4069 A      5374 A      4031 A   
  11.00 keV   6.150E+01  1.091E+01    4465 A      5734 A      4312 A   
  12.00 keV   6.504E+01  1.073E+01    4861 A      6078 A      4584 A   
  13.00 keV   6.850E+01  1.055E+01    5257 A      6408 A      4846 A   
  14.00 keV   7.190E+01  1.037E+01    5652 A      6726 A      5100 A   
  15.00 keV   7.524E+01  1.021E+01    6047 A      7031 A      5346 A   
  16.00 keV   7.853E+01  1.004E+01    6441 A      7325 A      5584 A   
  17.00 keV   8.176E+01  9.881E+00    6833 A      7609 A      5816 A   
  18.00 keV   8.495E+01  9.726E+00    7225 A      7883 A      6041 A   
  20.00 keV   9.119E+01  9.430E+00    8006 A      8401 A      6476 A   
  22.50 keV   9.878E+01  9.086E+00    8974 A      9003 A      6989 A   
  25.00 keV   1.062E+02  8.768E+00    9932 A      9563 A      7470 A   
  27.50 keV   1.134E+02  8.475E+00    1.09 um     1.01 um     7925 A   
  30.00 keV   1.204E+02  8.204E+00    1.18 um     1.06 um     8356 A   
  32.50 keV   1.273E+02  7.951E+00    1.27 um     1.10 um     8765 A   
  35.00 keV   1.341E+02  7.717E+00    1.36 um     1.15 um     9154 A   
  37.50 keV   1.407E+02  7.498E+00    1.45 um     1.19 um     9526 A   
  40.00 keV   1.473E+02  7.293E+00    1.54 um     1.22 um     9881 A   
  45.00 keV   1.600E+02  6.920E+00    1.72 um     1.29 um     1.05 um  
  50.00 keV   1.725E+02  6.590E+00    1.89 um     1.36 um     1.12 um  
  55.00 keV   1.845E+02  6.294E+00    2.05 um     1.41 um     1.17 um  
  60.00 keV   1.964E+02  6.029E+00    2.21 um     1.46 um     1.23 um  
  65.00 keV   2.079E+02  5.788E+00    2.37 um     1.51 um     1.27 um  
  70.00 keV   2.192E+02  5.569E+00    2.52 um     1.56 um     1.32 um  
  80.00 keV   2.411E+02  5.185E+00    2.81 um     1.63 um     1.41 um  
  90.00 keV   2.622E+02  4.858E+00    3.09 um     1.70 um     1.48 um  
 100.00 keV   2.826E+02  4.575E+00    3.36 um     1.76 um     1.55 um  
 110.00 keV   3.023E+02  4.328E+00    3.61 um     1.81 um     1.61 um  
 120.00 keV   3.213E+02  4.111E+00    3.86 um     1.85 um     1.66 um  
 130.00 keV   3.398E+02  3.917E+00    4.10 um     1.89 um     1.72 um  
 140.00 keV   3.576E+02  3.743E+00    4.32 um     1.93 um     1.76 um  
 150.00 keV   3.748E+02  3.586E+00    4.54 um     1.96 um     1.81 um  
 160.00 keV   3.915E+02  3.444E+00    4.76 um     1.99 um     1.85 um  
 170.00 keV   4.077E+02  3.314E+00    4.97 um     2.02 um     1.88 um  
 180.00 keV   4.232E+02  3.195E+00    5.17 um     2.04 um     1.92 um  
 200.00 keV   4.528E+02  2.984E+00    5.56 um     2.09 um     1.98 um  
 225.00 keV   4.867E+02  2.761E+00    6.02 um     2.14 um     2.06 um  
 250.00 keV   5.174E+02  2.572E+00    6.46 um     2.18 um     2.12 um  
 275.00 keV   5.450E+02  2.411E+00    6.88 um     2.21 um     2.18 um  
 300.00 keV   5.694E+02  2.271E+00    7.28 um     2.25 um     2.23 um  
 325.00 keV   5.910E+02  2.148E+00    7.67 um     2.27 um     2.28 um  
 350.00 keV   6.097E+02  2.040E+00    8.06 um     2.30 um     2.32 um  
 375.00 keV   6.257E+02  1.943E+00    8.43 um     2.32 um     2.36 um  
 400.00 keV   6.393E+02  1.856E+00    8.80 um     2.34 um     2.40 um  
 450.00 keV   6.597E+02  1.705E+00    9.52 um     2.38 um     2.47 um  
 500.00 keV   6.726E+02  1.580E+00   10.22 um     2.42 um     2.54 um  
 550.00 keV   6.793E+02  1.473E+00   10.92 um     2.45 um     2.60 um  
 600.00 keV   6.814E+02  1.381E+00   11.62 um     2.48 um     2.66 um  
 650.00 keV   6.799E+02  1.302E+00   12.33 um     2.51 um     2.72 um  
 700.00 keV   6.759E+02  1.231E+00   13.03 um     2.54 um     2.77 um  
 800.00 keV   6.631E+02  1.113E+00   14.47 um     2.59 um     2.88 um  
 900.00 keV   6.472E+02  1.018E+00   15.95 um     2.64 um     2.98 um  
   1.00 MeV   6.305E+02  9.389E-01   17.47 um     2.69 um     3.08 um  
   1.10 MeV   6.139E+02  8.723E-01   19.03 um     2.74 um     3.18 um  
   1.20 MeV   5.981E+02  8.152E-01   20.64 um     2.79 um     3.29 um  
   1.30 MeV   5.832E+02  7.659E-01   22.30 um     2.84 um     3.39 um  
   1.40 MeV   5.692E+02  7.226E-01   24.00 um     2.89 um     3.49 um  
   1.50 MeV   5.560E+02  6.844E-01   25.74 um     2.94 um     3.60 um  
   1.60 MeV   5.437E+02  6.503E-01   27.52 um     2.99 um     3.71 um  
   1.70 MeV   5.320E+02  6.198E-01   29.34 um     3.04 um     3.82 um  
   1.80 MeV   5.211E+02  5.923E-01   31.21 um     3.09 um     3.93 um  
   2.00 MeV   5.008E+02  5.444E-01   35.06 um     3.22 um     4.15 um  
   2.25 MeV   4.780E+02  4.953E-01   40.09 um     3.40 um     4.45 um  
   2.50 MeV   4.576E+02  4.549E-01   45.36 um     3.58 um     4.75 um  
   2.75 MeV   4.392E+02  4.210E-01   50.86 um     3.77 um     5.07 um  
   3.00 MeV   4.224E+02  3.922E-01   56.59 um     3.96 um     5.39 um  
   3.25 MeV   4.070E+02  3.674E-01   62.54 um     4.16 um     5.73 um  
   3.50 MeV   3.928E+02  3.457E-01   68.72 um     4.37 um     6.08 um  
   3.75 MeV   3.797E+02  3.267E-01   75.12 um     4.57 um     6.44 um  
   4.00 MeV   3.675E+02  3.098E-01   81.74 um     4.79 um     6.81 um  
   4.50 MeV   3.457E+02  2.810E-01   95.62 um     5.41 um     7.59 um  
   5.00 MeV   3.265E+02  2.575E-01  110.36 um     6.03 um     8.40 um  
   5.50 MeV   3.096E+02  2.378E-01  125.93 um     6.67 um     9.26 um  
   6.00 MeV   2.946E+02  2.211E-01  142.34 um     7.31 um    10.16 um  
   6.50 MeV   2.811E+02  2.068E-01  159.57 um     7.97 um    11.10 um  
   7.00 MeV   2.689E+02  1.943E-01  177.60 um     8.64 um    12.07 um  
   8.00 MeV   2.478E+02  1.736E-01  216.03 um    10.71 um    14.13 um  
   9.00 MeV   2.302E+02  1.571E-01  257.58 um    12.73 um    16.34 um  
  10.00 MeV   2.143E+02  1.437E-01  302.27 um    14.75 um    18.70 um  
