# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.130E+02  1.685E+01    3251 A      3179 A      2457 A   
  11.00 keV   1.187E+02  1.646E+01    3564 A      3380 A      2624 A   
  12.00 keV   1.242E+02  1.608E+01    3875 A      3573 A      2786 A   
  13.00 keV   1.296E+02  1.572E+01    4186 A      3757 A      2942 A   
  14.00 keV   1.347E+02  1.538E+01    4496 A      3935 A      3093 A   
  15.00 keV   1.398E+02  1.505E+01    4804 A      4105 A      3240 A   
  16.00 keV   1.447E+02  1.474E+01    5111 A      4269 A      3383 A   
  17.00 keV   1.495E+02  1.444E+01    5417 A      4428 A      3522 A   
  18.00 keV   1.541E+02  1.416E+01    5721 A      4580 A      3657 A   
  20.00 keV   1.632E+02  1.362E+01    6325 A      4869 A      3919 A   
  22.50 keV   1.741E+02  1.302E+01    7072 A      5204 A      4227 A   
  25.00 keV   1.845E+02  1.247E+01    7808 A      5516 A      4518 A   
  27.50 keV   1.945E+02  1.198E+01    8534 A      5805 A      4794 A   
  30.00 keV   2.041E+02  1.153E+01    9249 A      6075 A      5055 A   
  32.50 keV   2.135E+02  1.112E+01    9954 A      6328 A      5303 A   
  35.00 keV   2.225E+02  1.074E+01    1.06 um     6565 A      5540 A   
  37.50 keV   2.313E+02  1.039E+01    1.13 um     6788 A      5767 A   
  40.00 keV   2.399E+02  1.007E+01    1.20 um     6999 A      5984 A   
  45.00 keV   2.563E+02  9.484E+00    1.33 um     7385 A      6392 A   
  50.00 keV   2.720E+02  8.977E+00    1.46 um     7734 A      6769 A   
  55.00 keV   2.871E+02  8.529E+00    1.59 um     8050 A      7119 A   
  60.00 keV   3.015E+02  8.131E+00    1.71 um     8338 A      7447 A   
  65.00 keV   3.154E+02  7.774E+00    1.83 um     8603 A      7753 A   
  70.00 keV   3.288E+02  7.452E+00    1.94 um     8847 A      8041 A   
  80.00 keV   3.543E+02  6.892E+00    2.17 um     9283 A      8571 A   
  90.00 keV   3.783E+02  6.422E+00    2.38 um     9662 A      9048 A   
 100.00 keV   4.009E+02  6.020E+00    2.59 um     9996 A      9480 A   
 110.00 keV   4.222E+02  5.672E+00    2.79 um     1.03 um     9875 A   
 120.00 keV   4.425E+02  5.367E+00    2.99 um     1.06 um     1.02 um  
 130.00 keV   4.617E+02  5.098E+00    3.17 um     1.08 um     1.06 um  
 140.00 keV   4.799E+02  4.858E+00    3.36 um     1.10 um     1.09 um  
 150.00 keV   4.973E+02  4.642E+00    3.53 um     1.12 um     1.12 um  
 160.00 keV   5.139E+02  4.447E+00    3.71 um     1.14 um     1.15 um  
 170.00 keV   5.297E+02  4.270E+00    3.87 um     1.16 um     1.17 um  
 180.00 keV   5.448E+02  4.108E+00    4.04 um     1.17 um     1.20 um  
 200.00 keV   5.730E+02  3.823E+00    4.36 um     1.20 um     1.24 um  
 225.00 keV   6.047E+02  3.524E+00    4.75 um     1.23 um     1.29 um  
 250.00 keV   6.330E+02  3.273E+00    5.12 um     1.26 um     1.34 um  
 275.00 keV   6.582E+02  3.059E+00    5.47 um     1.29 um     1.38 um  
 300.00 keV   6.806E+02  2.874E+00    5.82 um     1.31 um     1.42 um  
 325.00 keV   7.006E+02  2.713E+00    6.16 um     1.33 um     1.46 um  
 350.00 keV   7.183E+02  2.571E+00    6.49 um     1.35 um     1.49 um  
 375.00 keV   7.339E+02  2.444E+00    6.82 um     1.36 um     1.52 um  
 400.00 keV   7.477E+02  2.331E+00    7.14 um     1.38 um     1.55 um  
 450.00 keV   7.702E+02  2.136E+00    7.77 um     1.41 um     1.60 um  
 500.00 keV   7.870E+02  1.974E+00    8.38 um     1.43 um     1.66 um  
 550.00 keV   7.991E+02  1.837E+00    8.99 um     1.46 um     1.70 um  
 600.00 keV   8.072E+02  1.719E+00    9.59 um     1.48 um     1.75 um  
 650.00 keV   8.121E+02  1.617E+00   10.19 um     1.50 um     1.79 um  
 700.00 keV   8.142E+02  1.528E+00   10.79 um     1.52 um     1.83 um  
 800.00 keV   8.122E+02  1.378E+00   11.99 um     1.56 um     1.91 um  
