# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.051E+01  8.324E+00    4135 A      5586 A      4178 A   
  11.00 keV   6.384E+01  8.232E+00    4522 A      5943 A      4457 A   
  12.00 keV   6.704E+01  8.137E+00    4908 A      6288 A      4727 A   
  13.00 keV   7.014E+01  8.040E+00    5294 A      6619 A      4989 A   
  14.00 keV   7.313E+01  7.943E+00    5680 A      6940 A      5243 A   
  15.00 keV   7.603E+01  7.845E+00    6066 A      7250 A      5491 A   
  16.00 keV   7.885E+01  7.748E+00    6451 A      7551 A      5732 A   
  17.00 keV   8.160E+01  7.652E+00    6836 A      7842 A      5967 A   
  18.00 keV   8.427E+01  7.557E+00    7221 A      8126 A      6197 A   
  20.00 keV   8.944E+01  7.373E+00    7991 A      8666 A      6645 A   
  22.50 keV   9.560E+01  7.154E+00    8950 A      9303 A      7178 A   
  25.00 keV   1.015E+02  6.947E+00    9905 A      9905 A      7686 A   
  27.50 keV   1.071E+02  6.751E+00    1.09 um     1.05 um     8171 A   
  30.00 keV   1.125E+02  6.568E+00    1.18 um     1.10 um     8636 A   
  32.50 keV   1.177E+02  6.394E+00    1.27 um     1.15 um     9084 A   
  35.00 keV   1.227E+02  6.231E+00    1.37 um     1.20 um     9514 A   
  37.50 keV   1.276E+02  6.077E+00    1.46 um     1.25 um     9930 A   
  40.00 keV   1.323E+02  5.932E+00    1.55 um     1.29 um     1.03 um  
  45.00 keV   1.414E+02  5.664E+00    1.73 um     1.38 um     1.11 um  
  50.00 keV   1.501E+02  5.423E+00    1.92 um     1.45 um     1.18 um  
  55.00 keV   1.583E+02  5.204E+00    2.09 um     1.52 um     1.25 um  
  60.00 keV   1.662E+02  5.006E+00    2.27 um     1.59 um     1.32 um  
  65.00 keV   1.738E+02  4.824E+00    2.44 um     1.65 um     1.38 um  
  70.00 keV   1.811E+02  4.658E+00    2.61 um     1.71 um     1.44 um  
  80.00 keV   1.950E+02  4.362E+00    2.94 um     1.82 um     1.55 um  
  90.00 keV   2.081E+02  4.108E+00    3.27 um     1.91 um     1.65 um  
 100.00 keV   2.204E+02  3.885E+00    3.59 um     2.00 um     1.74 um  
 110.00 keV   2.320E+02  3.690E+00    3.89 um     2.08 um     1.83 um  
 120.00 keV   2.431E+02  3.516E+00    4.20 um     2.15 um     1.91 um  
 130.00 keV   2.536E+02  3.360E+00    4.49 um     2.22 um     1.99 um  
 140.00 keV   2.636E+02  3.220E+00    4.78 um     2.28 um     2.06 um  
 150.00 keV   2.732E+02  3.092E+00    5.06 um     2.33 um     2.13 um  
 160.00 keV   2.824E+02  2.976E+00    5.34 um     2.39 um     2.19 um  
 170.00 keV   2.911E+02  2.869E+00    5.62 um     2.44 um     2.25 um  
 180.00 keV   2.995E+02  2.771E+00    5.88 um     2.48 um     2.31 um  
 200.00 keV   3.152E+02  2.597E+00    6.41 um     2.57 um     2.42 um  
 225.00 keV   3.330E+02  2.411E+00    7.04 um     2.66 um     2.55 um  
 250.00 keV   3.490E+02  2.253E+00    7.66 um     2.75 um     2.67 um  
 275.00 keV   3.634E+02  2.118E+00    8.26 um     2.82 um     2.78 um  
 300.00 keV   3.763E+02  1.999E+00    8.84 um     2.89 um     2.88 um  
 325.00 keV   3.878E+02  1.895E+00    9.41 um     2.95 um     2.97 um  
 350.00 keV   3.980E+02  1.803E+00    9.97 um     3.01 um     3.06 um  
 375.00 keV   4.071E+02  1.720E+00   10.53 um     3.06 um     3.14 um  
 400.00 keV   4.152E+02  1.645E+00   11.07 um     3.11 um     3.22 um  
 450.00 keV   4.284E+02  1.516E+00   12.14 um     3.21 um     3.37 um  
 500.00 keV   4.382E+02  1.407E+00   13.20 um     3.29 um     3.51 um  
 550.00 keV   4.452E+02  1.315E+00   14.24 um     3.37 um     3.64 um  
 600.00 keV   4.499E+02  1.235E+00   15.27 um     3.44 um     3.77 um  
 650.00 keV   4.525E+02  1.166E+00   16.31 um     3.50 um     3.88 um  
 700.00 keV   4.536E+02  1.104E+00   17.34 um     3.57 um     4.00 um  
 800.00 keV   4.519E+02  1.001E+00   19.42 um     3.69 um     4.22 um  
 900.00 keV   4.467E+02  9.169E-01   21.53 um     3.81 um     4.44 um  
   1.00 MeV   4.395E+02  8.471E-01   23.69 um     3.92 um     4.65 um  
   1.10 MeV   4.310E+02  7.882E-01   25.88 um     4.03 um     4.85 um  
   1.20 MeV   4.221E+02  7.376E-01   28.13 um     4.14 um     5.06 um  
   1.30 MeV   4.129E+02  6.938E-01   30.44 um     4.24 um     5.27 um  
   1.40 MeV   4.039E+02  6.553E-01   32.80 um     4.35 um     5.47 um  
   1.50 MeV   3.952E+02  6.212E-01   35.22 um     4.45 um     5.68 um  
   1.60 MeV   3.868E+02  5.908E-01   37.70 um     4.56 um     5.89 um  
   1.70 MeV   3.788E+02  5.635E-01   40.23 um     4.66 um     6.11 um  
   1.80 MeV   3.712E+02  5.389E-01   42.82 um     4.77 um     6.32 um  
   2.00 MeV   3.573E+02  4.960E-01   48.16 um     5.01 um     6.76 um  
   2.25 MeV   3.418E+02  4.519E-01   55.13 um     5.33 um     7.32 um  
   2.50 MeV   3.284E+02  4.155E-01   62.41 um     5.65 um     7.90 um  
   2.75 MeV   3.165E+02  3.850E-01   70.00 um     5.99 um     8.49 um  
   3.00 MeV   3.059E+02  3.590E-01   77.86 um     6.32 um     9.10 um  
   3.25 MeV   2.963E+02  3.365E-01   85.99 um     6.66 um     9.72 um  
   3.50 MeV   2.876E+02  3.169E-01   94.39 um     7.01 um    10.36 um  
   3.75 MeV   2.797E+02  2.997E-01  103.04 um     7.36 um    11.01 um  
   4.00 MeV   2.724E+02  2.843E-01  111.93 um     7.71 um    11.67 um  
