# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.012E+02  2.274E+01    3278 A      3130 A      2427 A   
  11.00 keV   1.066E+02  2.209E+01    3610 A      3344 A      2605 A   
  12.00 keV   1.117E+02  2.148E+01    3941 A      3548 A      2777 A   
  13.00 keV   1.167E+02  2.091E+01    4273 A      3745 A      2944 A   
  14.00 keV   1.215E+02  2.037E+01    4604 A      3934 A      3106 A   
  15.00 keV   1.261E+02  1.986E+01    4935 A      4116 A      3264 A   
  16.00 keV   1.306E+02  1.938E+01    5265 A      4291 A      3418 A   
  17.00 keV   1.349E+02  1.892E+01    5594 A      4460 A      3568 A   
  18.00 keV   1.392E+02  1.849E+01    5923 A      4624 A      3714 A   
  20.00 keV   1.473E+02  1.769E+01    6578 A      4934 A      3997 A   
  22.50 keV   1.570E+02  1.681E+01    7389 A      5294 A      4333 A   
  25.00 keV   1.662E+02  1.602E+01    8193 A      5630 A      4650 A   
  27.50 keV   1.750E+02  1.531E+01    8987 A      5943 A      4952 A   
  30.00 keV   1.835E+02  1.467E+01    9773 A      6236 A      5239 A   
  32.50 keV   1.916E+02  1.409E+01    1.05 um     6511 A      5513 A   
  35.00 keV   1.994E+02  1.357E+01    1.13 um     6769 A      5775 A   
  37.50 keV   2.070E+02  1.309E+01    1.21 um     7013 A      6026 A   
  40.00 keV   2.143E+02  1.264E+01    1.28 um     7244 A      6267 A   
  45.00 keV   2.283E+02  1.185E+01    1.43 um     7669 A      6722 A   
  50.00 keV   2.416E+02  1.117E+01    1.57 um     8053 A      7145 A   
  55.00 keV   2.542E+02  1.057E+01    1.71 um     8404 A      7539 A   
  60.00 keV   2.663E+02  1.005E+01    1.85 um     8725 A      7909 A   
  65.00 keV   2.779E+02  9.578E+00    1.99 um     9020 A      8257 A   
  70.00 keV   2.890E+02  9.157E+00    2.12 um     9294 A      8585 A   
  80.00 keV   3.100E+02  8.430E+00    2.37 um     9784 A      9191 A   
  90.00 keV   3.296E+02  7.825E+00    2.62 um     1.02 um     9739 A   
 100.00 keV   3.478E+02  7.311E+00    2.86 um     1.06 um     1.02 um  
 110.00 keV   3.650E+02  6.869E+00    3.09 um     1.09 um     1.07 um  
 120.00 keV   3.811E+02  6.484E+00    3.31 um     1.12 um     1.11 um  
 130.00 keV   3.963E+02  6.145E+00    3.53 um     1.15 um     1.15 um  
 140.00 keV   4.106E+02  5.844E+00    3.74 um     1.18 um     1.19 um  
 150.00 keV   4.240E+02  5.574E+00    3.95 um     1.20 um     1.22 um  
 160.00 keV   4.367E+02  5.331E+00    4.15 um     1.22 um     1.26 um  
 170.00 keV   4.487E+02  5.111E+00    4.35 um     1.24 um     1.29 um  
 180.00 keV   4.600E+02  4.911E+00    4.55 um     1.26 um     1.32 um  
 200.00 keV   4.806E+02  4.559E+00    4.93 um     1.30 um     1.37 um  
 225.00 keV   5.033E+02  4.191E+00    5.39 um     1.33 um     1.43 um  
 250.00 keV   5.230E+02  3.884E+00    5.83 um     1.37 um     1.49 um  
 275.00 keV   5.400E+02  3.623E+00    6.27 um     1.40 um     1.54 um  
 300.00 keV   5.550E+02  3.398E+00    6.69 um     1.42 um     1.59 um  
 325.00 keV   5.681E+02  3.203E+00    7.11 um     1.45 um     1.64 um  
 350.00 keV   5.797E+02  3.031E+00    7.52 um     1.47 um     1.68 um  
 375.00 keV   5.900E+02  2.878E+00    7.92 um     1.49 um     1.72 um  
 400.00 keV   5.992E+02  2.741E+00    8.32 um     1.51 um     1.76 um  
 450.00 keV   6.150E+02  2.507E+00    9.10 um     1.55 um     1.83 um  
 500.00 keV   6.279E+02  2.313E+00    9.87 um     1.59 um     1.90 um  
 550.00 keV   6.386E+02  2.149E+00   10.63 um     1.62 um     1.96 um  
 600.00 keV   6.475E+02  2.009E+00   11.38 um     1.65 um     2.02 um  
 650.00 keV   6.548E+02  1.888E+00   12.13 um     1.68 um     2.07 um  
 700.00 keV   6.608E+02  1.781E+00   12.86 um     1.70 um     2.12 um  
 800.00 keV   6.694E+02  1.604E+00   14.33 um     1.76 um     2.22 um  
 900.00 keV   6.744E+02  1.461E+00   15.78 um     1.80 um     2.32 um  
   1.00 MeV   6.764E+02  1.343E+00   17.23 um     1.85 um     2.41 um  
   1.10 MeV   6.762E+02  1.244E+00   18.68 um     1.89 um     2.49 um  
   1.20 MeV   6.741E+02  1.160E+00   20.13 um     1.94 um     2.57 um  
   1.30 MeV   6.706E+02  1.087E+00   21.59 um     1.98 um     2.65 um  
   1.40 MeV   6.660E+02  1.024E+00   23.07 um     2.01 um     2.73 um  
   1.50 MeV   6.604E+02  9.682E-01   24.55 um     2.05 um     2.80 um  
   1.60 MeV   6.542E+02  9.185E-01   26.05 um     2.09 um     2.88 um  
   1.70 MeV   6.474E+02  8.741E-01   27.57 um     2.13 um     2.95 um  
   1.80 MeV   6.402E+02  8.341E-01   29.10 um     2.16 um     3.02 um  
   2.00 MeV   6.251E+02  7.649E-01   32.23 um     2.26 um     3.17 um  
   2.25 MeV   6.054E+02  6.940E-01   36.25 um     2.39 um     3.35 um  
   2.50 MeV   5.856E+02  6.360E-01   40.41 um     2.52 um     3.53 um  
   2.75 MeV   5.662E+02  5.875E-01   44.71 um     2.65 um     3.71 um  
   3.00 MeV   5.474E+02  5.463E-01   49.17 um     2.78 um     3.90 um  
   3.25 MeV   5.294E+02  5.109E-01   53.77 um     2.91 um     4.09 um  
   3.50 MeV   5.122E+02  4.801E-01   58.54 um     3.04 um     4.28 um  
   3.75 MeV   4.959E+02  4.531E-01   63.47 um     3.18 um     4.48 um  
   4.00 MeV   4.805E+02  4.291E-01   68.55 um     3.32 um     4.68 um  
   4.50 MeV   4.520E+02  3.884E-01   79.22 um     3.76 um     5.10 um  
   5.00 MeV   4.265E+02  3.553E-01   90.54 um     4.20 um     5.54 um  
   5.50 MeV   4.036E+02  3.276E-01  102.53 um     4.64 um     6.00 um  
   6.00 MeV   3.829E+02  3.042E-01  115.18 um     5.09 um     6.49 um  
   6.50 MeV   3.643E+02  2.841E-01  128.50 um     5.55 um     6.99 um  
   7.00 MeV   3.474E+02  2.667E-01  142.48 um     6.02 um     7.52 um  
   8.00 MeV   3.180E+02  2.378E-01  172.43 um     7.59 um     8.66 um  
   9.00 MeV   2.974E+02  2.149E-01  204.81 um     9.09 um     9.87 um  
  10.00 MeV   2.779E+02  1.962E-01  239.46 um    10.56 um    11.17 um  
