# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.106E+02  1.648E+01    3283 A      3271 A      2523 A   
  11.00 keV   1.168E+02  1.610E+01    3596 A      3475 A      2692 A   
  12.00 keV   1.228E+02  1.574E+01    3906 A      3670 A      2855 A   
  13.00 keV   1.285E+02  1.540E+01    4215 A      3856 A      3012 A   
  14.00 keV   1.341E+02  1.507E+01    4522 A      4034 A      3164 A   
  15.00 keV   1.395E+02  1.475E+01    4828 A      4205 A      3310 A   
  16.00 keV   1.448E+02  1.445E+01    5132 A      4369 A      3453 A   
  17.00 keV   1.500E+02  1.417E+01    5434 A      4526 A      3590 A   
  18.00 keV   1.550E+02  1.389E+01    5734 A      4678 A      3724 A   
  20.00 keV   1.647E+02  1.338E+01    6330 A      4964 A      3982 A   
  22.50 keV   1.762E+02  1.279E+01    7066 A      5294 A      4286 A   
  25.00 keV   1.872E+02  1.226E+01    7789 A      5599 A      4571 A   
  27.50 keV   1.978E+02  1.178E+01    8502 A      5882 A      4840 A   
  30.00 keV   2.079E+02  1.134E+01    9203 A      6146 A      5094 A   
  32.50 keV   2.177E+02  1.094E+01    9893 A      6392 A      5336 A   
  35.00 keV   2.272E+02  1.057E+01    1.06 um     6623 A      5567 A   
  37.50 keV   2.364E+02  1.023E+01    1.12 um     6840 A      5787 A   
  40.00 keV   2.453E+02  9.915E+00    1.19 um     7044 A      5997 A   
  45.00 keV   2.624E+02  9.348E+00    1.32 um     7418 A      6392 A   
  50.00 keV   2.787E+02  8.852E+00    1.45 um     7756 A      6758 A   
  55.00 keV   2.942E+02  8.414E+00    1.57 um     8061 A      7097 A   
  60.00 keV   3.091E+02  8.024E+00    1.69 um     8340 A      7413 A   
  65.00 keV   3.234E+02  7.674E+00    1.80 um     8596 A      7709 A   
  70.00 keV   3.372E+02  7.358E+00    1.92 um     8832 A      7988 A   
  80.00 keV   3.634E+02  6.808E+00    2.14 um     9252 A      8500 A   
  90.00 keV   3.879E+02  6.346E+00    2.35 um     9618 A      8960 A   
 100.00 keV   4.110E+02  5.951E+00    2.55 um     9940 A      9378 A   
 110.00 keV   4.328E+02  5.609E+00    2.74 um     1.02 um     9761 A   
 120.00 keV   4.534E+02  5.309E+00    2.93 um     1.05 um     1.01 um  
 130.00 keV   4.731E+02  5.044E+00    3.12 um     1.07 um     1.04 um  
 140.00 keV   4.918E+02  4.807E+00    3.29 um     1.09 um     1.07 um  
 150.00 keV   5.096E+02  4.595E+00    3.47 um     1.11 um     1.10 um  
 160.00 keV   5.265E+02  4.402E+00    3.64 um     1.13 um     1.13 um  
 170.00 keV   5.428E+02  4.228E+00    3.80 um     1.15 um     1.15 um  
 180.00 keV   5.582E+02  4.068E+00    3.96 um     1.16 um     1.18 um  
 200.00 keV   5.872E+02  3.787E+00    4.28 um     1.19 um     1.22 um  
