            Isotopic Abundance
P. De Bievre and P.D.P. Taylor, Int. J. Mass
Spectrom. Ion Phys. 123, 149 (1993).
--------------------------------------------
 A-El  Z    Abundance
--------------------------------------------
  1H   1     99.985  
  2H   1      0.015  
  3He  2   0.000137  
  4He  2  99.999863  
  6Li  3        7.5  
  7Li  3       92.5  
  9Be  4         100  
 10B   5       19.9  
 11B   5       80.1  
 12C   6      98.90  
 13C   6       1.10  
 14N   7     99.634  
 15N   7      0.366  
 16O   8     99.762 
 17O   8      0.038  
 18O   8      0.200 
 19F   9         100  
 20Ne 10      90.48  
 21Ne 10       0.27  
 22Ne 10       9.25  
 23Na 11         100  
 24Mg 12      78.99  
 25Mg 12      10.00  
 26Mg 12      11.01  
 27Al 13         100  
 28Si 14      92.23  
 29Si 14       4.67  
 30Si 14       3.10  
 31P  15         100  
 32S  16      95.02  
 33S  16       0.75  
 34S  16       4.21  
 35Cl 17      75.77  
 36S  16       0.02  
 36Ar 18      0.337  
 37Cl 17      24.23  
 38Ar 18      0.063  
 39K  19   93.2581  
 40Ar 18     99.600  
 40K  19     0.0117  
 40Ca 20    96.941  
 41K  19    6.7302  
 42Ca 20      0.647  
 43Ca 20      0.135  
 44Ca 20      2.086 
 45Sc 21         100  
 46Ca 20      0.004  
 46Ti 22        8.0  
 47Ti 22        7.3  
 48Ca 20      0.187  
 48Ti 22       73.8  
 49Ti 22        5.5  
 50Ti 22        5.4  
 50V  23      0.250  
 50Cr 24      4.345 
 51V  23     99.750  
 52Cr 24     83.789 
 53Cr 24     9.501  
 54Cr 24      2.365  
 54Fe 26        5.8  
 55Mn 25         100  
 56Fe 26     91.72  
 57Fe 26        2.2  
 58Fe 26       0.28  
 58Ni 28     68.077  
 59Co 27         100  
 60Ni 28     26.223  
 61Ni 28      1.140  
 62Ni 28      3.634  
 63Cu 29      69.17  
 64Ni 28      0.926  
 64Zn 30       48.6  
 65Cu 29      30.83  
 66Zn 30       27.9  
 67Zn 30        4.1  
 68Zn 30       18.8  
 69Ga 31     60.108  
 70Zn 30        0.6  
 70Ge 32      21.23  
 71Ga 31     39.892  
 72Ge 32      27.66  
 73Ge 32       7.73  
 74Ge 32      35.94  
 74Se 34       0.89  
 75As 33         100  
 76Ge 32       7.44  
 76Se 34      9.36  
 77Se 34       7.63  
 78Se 34     23.78   
 78Kr 36       0.35  
 79Br 35      50.69  
 80Se 34     49.61  
 80Kr 36       2.25  
 81Br 35      49.31  
 82Se 34       8.73  
 82Kr 36       11.6  
 83Kr 36       11.5  
 84Kr 36       57.0  
 84Sr 38       0.56  
 85Rb 37     72.165 
 86Kr 36       17.3  
 86Sr 38       9.86  
 87Rb 37     27.835 
 87Sr 38       7.00  
 88Sr 38      82.58  
 89Y  39         100  
 90Zr 40      51.45  
 91Zr 40      11.22  
 92Zr 40      17.15  
 92Mo 42      14.84  
 93Nb 41         100  
 94Zr 40      17.38  
 94Mo 42       9.25  
 95Mo 42      15.92  
 96Zr 40       2.80  
 96Mo 42      16.68  
 96Ru 44       5.52  
 97Mo 42       9.55  
 98Mo 42      24.13  
 98Ru 44       1.88  
 99Ru 44       12.7  
100Mo 42       9.63  
100Ru 44       12.6  
101Ru 44       17.0  
102Ru 44       31.6  
102Pd 46       1.02  
103Rh 45         100  
104Ru 44       18.7  
104Pd 46      11.14  
105Pd 46      22.33  
106Pd 46      27.33  
106Cd 48       1.25  
107Ag 47     51.839  
108Pd 46      26.46  
108Cd 48       0.89  
109Ag 47     48.161  
110Pd 46      11.72  
110Cd 48     12.49  
111Cd 48      12.80  
112Cd 48     24.13  
112Sn 50       0.97  
113Cd 48      12.22  
113In 49        4.3  
114Cd 48     28.73  
114Sn 50       0.65  
115In 49       95.7  
115Sn 50       0.34  
116Cd 48      7.49  
116Sn 50     14.53   
117Sn 50       7.68  
118Sn 50     24.23  
119Sn 50       8.59  
120Sn 50     32.59  
120Te 52      0.096  
121Sb 51     57.36   
122Sn 50       4.63  
122Te 52      2.603  
123Sb 51     42.64   
123Te 52      0.908  
124Sn 50       5.79  
124Te 52      4.816  
124Xe 54       0.10  
125Te 52      7.139  
126Te 52      18.95  
126Xe 54       0.09  
127I  53         100  
128Te 52      31.69  
128Xe 54       1.91  
129Xe 54       26.4  
130Te 52      33.80  
130Xe 54        4.1  
130Ba 56      0.106  
131Xe 54       21.2  
132Xe 54       26.9  
132Ba 56      0.101  
133Cs 55         100  
134Xe 54       10.4  
134Ba 56      2.417 
135Ba 56     6.592  
136Xe 54        8.9  
136Ba 56      7.854 
136Ce 58       0.19  
137Ba 56      11.23  
138Ba 56      71.70  
138La 57     0.0902  
138Ce 58       0.25  
139La 57    99.9098  
140Ce 58     88.48  
141Pr 59         100  
142Ce 58     11.08  
142Nd 60     27.13  
143Nd 60      12.18  
144Nd 60     23.80  
144Sm 62        3.1  
145Nd 60       8.30  
146Nd 60      17.19  
147Sm 62       15.0  
148Nd 60       5.76  
148Sm 62       11.3  
149Sm 62       13.8  
150Nd 60       5.64  
150Sm 62        7.4  
151Eu 63       47.8 
152Sm 62       26.7  
152Gd 64       0.20  
153Eu 63       52.2 
154Sm 62       22.7  
154Gd 64       2.18  
155Gd 64      14.80  
156Gd 64      20.47  
156Dy 66       0.06  
157Gd 64      15.65  
158Gd 64     24.84  
158Dy 66       0.10  
159Tb 65         100  
160Gd 64      21.86  
160Dy 66       2.34  
161Dy 66       18.9  
162Dy 66       25.5  
162Er 68       0.14  
163Dy 66       24.9  
164Dy 66       28.2  
164Er 68       1.61  
165Ho 67         100  
166Er 68       33.6  
167Er 68     22.95  
168Er 68       26.8  
168Yb 70       0.13  
169Tm 69         100  
170Er 68       14.9  
170Yb 70       3.05  
171Yb 70       14.3  
172Yb 70       21.9  
173Yb 70     16.12  
174Yb 70       31.8  
174Hf 72      0.162  
175Lu 71      97.41  
176Yb 70       12.7  
176Lu 71       2.59  
176Hf 72      5.206  
177Hf 72     18.606  
178Hf 72     27.297  
179Hf 72     13.629  
180Hf 72     35.100  
180Ta 73      0.012  
180W  74       0.13  
181Ta 73     99.988  
182W  74       26.3  
183W  74      14.3   
184W  74      30.67 
184Os 76       0.02  
185Re 75      37.40  
186W  74       28.6  
186Os 76      1.58  
187Re 75      62.60  
187Os 76        1.6  
188Os 76       13.3  
189Os 76       16.1  
190Os 76       26.4 
190Pt 78       0.01  
191Ir 77       37.3  
192Os 76       41.0  
192Pt 78       0.79  
193Ir 77       62.7  
194Pt 78       32.9  
195Pt 78       33.8  
196Pt 78       25.3  
196Hg 80       0.15  
197Au 79         100  
198Pt 78        7.2  
198Hg 80       9.97  
199Hg 80     16.87  
200Hg 80     23.10  
201Hg 80      13.18  
202Hg 80     29.86  
203Tl 81     29.524 
204Hg 80       6.87  
204Pb 82        1.4  
205Tl 81     70.476 
206Pb 82       24.1  
207Pb 82       22.1  
208Pb 82       52.4  
209Bi 83         100  
232Th 90         100  
234U  92     0.0055  
235U  92     0.7200 
238U  92   99.2745  60
