=========================
ELE = He
A   = 4
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              5.23e-05       9.22e-06       9.22e-06       -1             
4.1            5.56e-05       9.7e-06        9.7e-06        -1             
4.2            5.91e-05       1.02e-05       1.02e-05       -1             
4.3            6.24e-05       1.08e-05       1.08e-05       -1             
4.4            6.62e-05       1.14e-05       1.14e-05       -1             
4.5            7.09e-05       1.21e-05       1.21e-05       -1             
4.6            7.61e-05       1.29e-05       1.29e-05       -1             
4.7            8.18e-05       1.36e-05       1.36e-05       -1             
4.8            8.76e-05       1.44e-05       1.44e-05       -1             
4.9            9.32e-05       1.52e-05       1.52e-05       -1             
5              9.88e-05       1.61e-05       1.61e-05       -1             
5.1            0.000104       1.69e-05       1.69e-05       -1             
5.2            -1             -1             -1             -1             
5.3            -1             -1             -1             -1             
5.4            -1             -1             -1             -1             
5.5            -1             -1             -1             -1             
5.6            -1             -1             -1             -1             
5.7            -1             -1             -1             -1             
5.8            -1             -1             -1             -1             
5.9            -1             -1             -1             -1             
6              -1             -1             -1             -1             
6.1            -1             -1             -1             -1             
6.2            -1             -1             -1             -1             
6.3            -1             -1             -1             -1             
6.4            -1             -1             -1             -1             
6.5            -1             -1             -1             -1             
6.6            -1             -1             -1             -1             
6.7            -1             -1             -1             -1             
6.8            -1             -1             -1             -1             
6.9            -1             -1             -1             -1             
7              -1             -1             -1             -1             
7.1            -1             -1             -1             -1             
7.2            -1             -1             -1             -1             
7.3            -1             -1             -1             -1             
7.4            -1             -1             -1             -1             
7.5            -1             -1             -1             -1             
7.6            -1             -1             -1             -1             
7.7            -1             -1             -1             -1             
7.8            -1             -1             -1             -1             
7.9            -1             -1             -1             -1             
8              -1             -1             -1             -1             
8.1            -1             -1             -1             -1             
8.2            -1             -1             -1             -1             
8.3            -1             -1             -1             -1             
8.4            -1             -1             -1             -1             
8.5            -1             -1             -1             -1             
8.6            -1             -1             -1             -1             
8.7            -1             -1             -1             -1             
8.8            -1             -1             -1             -1             
8.9            -1             -1             -1             -1             
9              -1             -1             -1             -1             
9.1            -1             -1             -1             -1             
9.2            -1             -1             -1             -1             
9.3            -1             -1             -1             -1             
9.4            -1             -1             -1             -1             
9.5            -1             -1             -1             -1             
9.6            -1             -1             -1             -1             
9.7            -1             -1             -1             -1             
9.8            -1             -1             -1             -1             
9.9            -1             -1             -1             -1             
10             -1             -1             -1             -1             
END DATA
-------------------------

=========================
ELE = Li
A   = 6
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              -1             -1             -1             -1             
4.1            -1             -1             -1             -1             
4.2            -1             -1             -1             -1             
4.3            -1             -1             -1             -1             
4.4            -1             -1             -1             -1             
4.5            -1             -1             -1             -1             
4.6            -1             -1             -1             -1             
4.7            -1             -1             -1             -1             
4.8            -1             -1             -1             -1             
4.9            -1             -1             -1             -1             
5              -1             -1             -1             -1             
5.1            -1             -1             -1             -1             
5.2            -1             -1             -1             -1             
5.3            -1             -1             -1             -1             
5.4            -1             -1             -1             -1             
5.5            -1             -1             -1             -1             
5.6            -1             -1             -1             -1             
5.7            -1             -1             -1             -1             
5.8            -1             -1             -1             -1             
5.9            -1             -1             -1             -1             
6              -1             -1             -1             -1             
6.1            3.8e-17        7.6e-18        7.6e-18        -1             
6.2            7.6e-17        1.52e-17       1.52e-17       -1             
6.3            1.14e-16       2.28e-17       2.28e-17       -1             
6.4            1.52e-16       3.04e-17       3.04e-17       -1             
6.5            1.9e-16        3.8e-17        3.8e-17        -1             
6.6            5.22e-08       7.35e-09       7.35e-09       0.474          
6.7            1.05e-07       1.47e-08       1.47e-08       0.466          
6.8            1.56e-07       2.21e-08       2.21e-08       0.48           
6.9            2.09e-07       2.94e-08       2.94e-08       0.476          
7              2.61e-07       3.68e-08       3.68e-08       0.474          
7.1            5.66e-07       7.94e-08       7.94e-08       0.851          
7.2            8.67e-07       1.21e-07       1.21e-07       0.98           
7.3            1.17e-06       1.63e-07       1.63e-07       0.951          
7.4            1.47e-06       2.04e-07       2.04e-07       0.922          
7.5            1.76e-06       2.46e-07       2.46e-07       0.887          
7.6            2.28e-06       3.19e-07       3.19e-07       0.802          
7.7            2.78e-06       3.91e-07       3.91e-07       0.74           
7.8            3.29e-06       4.62e-07       4.62e-07       0.706          
7.9            3.79e-06       5.34e-07       5.34e-07       0.675          
8              4.29e-06       6.05e-07       6.05e-07       0.652          
8.1            4.99e-06       7.03e-07       7.03e-07       0.676          
8.2            5.69e-06       8e-07          8e-07          0.69           
8.3            6.39e-06       8.96e-07       8.96e-07       0.705          
8.4            7.09e-06       9.91e-07       9.91e-07       0.714          
8.5            7.79e-06       1.09e-06       1.09e-06       0.725          
8.6            8.7e-06        1.22e-06       1.22e-06       0.725          
8.7            9.6e-06        1.35e-06       1.35e-06       0.735          
8.8            1.06e-05       1.48e-06       1.48e-06       0.737          
8.9            1.14e-05       1.62e-06       1.62e-06       0.735          
9              1.23e-05       1.75e-06       1.75e-06       0.733          
9.1            1.42e-05       2.84e-06       2.84e-06       -1             
9.2            1.54e-05       3.08e-06       3.08e-06       -1             
9.3            1.66e-05       3.32e-06       3.32e-06       -1             
9.4            1.78e-05       3.56e-06       3.56e-06       -1             
9.5            1.9e-05        3.8e-06        3.8e-06        -1             
9.6            2.02e-05       4.04e-06       4.04e-06       -1             
9.7            2.14e-05       4.28e-06       4.28e-06       -1             
9.8            2.26e-05       4.52e-06       4.52e-06       -1             
9.9            2.38e-05       4.76e-06       4.76e-06       -1             
10             2.5e-05        5e-06          5e-06          -1             
END DATA
-------------------------

=========================
ELE = Li
A   = 7
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              2e-09          4e-10          4e-10          -1             
4.1            9.15e-09       3.06e-09       3.06e-09       0.0238         
4.2            1.6e-08        6.34e-09       6.34e-09       0.00869        
4.3            2.28e-08       9.53e-09       9.53e-09       0.006          
4.4            1.79e-09       9.19e-10       9.19e-10       2.73e-11       
4.5            3.57e-08       3.29e-09       3.29e-09       0.0182         
4.6            1.08e-07       8.03e-09       8.03e-09       0.0478         
4.7            2.16e-07       1.19e-08       1.19e-08       0.217          
4.8            3.63e-07       1.63e-08       1.63e-08       0.555          
4.9            5.45e-07       2.39e-08       2.39e-08       0.734          
5              7.86e-07       3.4e-08        3.4e-08        0.511          
5.1            1.13e-06       5.24e-08       5.24e-08       0.326          
