# JENDL
# Энеригия | Выход нейтронов с 1 распада Th232 | Погрешность выхода

Energy	15N	%unc
10	3e-07	6e-08
9.5	2.7e-07	5.4e-08
9	2e-07	3.9e-08
8.5	1.2e-07	2.3e-08
8	0	0
7.5	0	0
7	0	0
6.5	0	0
6	0	0
5.5	0	0
5	0	0
4.5	0	0
4	0	0
3.5	0	0
3	0	0
2.5	0	0
2	0	0
1.5	0	0
1	0	0
0.5	0	0

Energy	14N	%unc
10	2.6e-05	5.2e-06
9.5	2e-05	3.9e-06
9	1.3e-05	2.5e-06
8.5	8.4e-06	1.7e-06
8	5.7e-06	1.1e-06
7.5	3.5e-06	7e-07
7	1.6e-06	3.1e-07
6.5	1.8e-07	3.6e-08
6	0	0
5.5	0	0
5	0	0
4.5	0	0
4	0	0
3.5	0	0
3	0	0
2.5	0	0
2	0	0
1.5	0	0
1	0	0
0.5	0	0

Energy	7Li	%unc
10	9.4e-05	1.9e-05
9.5	8.5e-05	1.7e-05
9	7.5e-05	1.5e-05
8.5	6.5e-05	1.3e-05
8	5.4e-05	1.1e-05
7.5	4.2e-05	8.4e-06
7	2.4e-05	4.7e-06
6.5	1e-05	2.1e-06
6	4.3e-06	8.5e-07
5.5	2.2e-06	4.3e-07
5	7.6e-07	1.5e-07
4.5	7.6e-08	1.5e-08
4	0	0
3.5	0	0
3	0	0
2.5	0	0
2	0	0
1.5	0	0
1	0	0
0.5	0	0

Energy	10B	%unc
10	4.2e-05	8.5e-06
9.5	3.8e-05	7.6e-06
9	3.3e-05	6.7e-06
8.5	2.9e-05	5.8e-06
8	2.5e-05	5e-06
7.5	2.1e-05	4.1e-06
7	1.7e-05	3.3e-06
6.5	1.3e-05	2.5e-06
6	9.3e-06	1.9e-06
5.5	6.1e-06	1.2e-06
5	3.6e-06	7.2e-07
4.5	2e-06	4e-07
4	8.7e-07	1.7e-07
3.5	3.7e-07	7.4e-08
3	1.2e-07	2.4e-08
2.5	4.2e-08	8.4e-09
2	2e-08	4e-09
1.5	6.3e-09	1.3e-09
1	0	0
0.5	0	0

Energy	13C	%unc
10	9.7e-05	1.9e-05
9.5	8.5e-05	1.7e-05
9	7.3e-05	1.5e-05
8.5	6.2e-05	1.2e-05
8	5.1e-05	1e-05
7.5	4e-05	8e-06
7	3e-05	5.9e-06
6.5	2.2e-05	4.5e-06
6	1.6e-05	3.2e-06
5.5	9.3e-06	1.9e-06
5	5.2e-06	1e-06
4.5	3.9e-06	7.8e-07
4	3.4e-06	6.8e-07
3.5	3.3e-06	6.5e-07
3	1.8e-06	3.6e-07
2.5	1.1e-06	2.2e-07
2	1.2e-07	2.4e-08
1.5	1.2e-08	2.4e-09
1	2.3e-10	4.7e-11
0.5	0	0

Energy	9Be	%unc
10	0.00043	8.7e-05
9.5	0.00038	7.6e-05
9	0.00033	6.6e-05
8.5	0.00028	5.7e-05
8	0.00024	4.8e-05
7.5	0.0002	4.1e-05
7	0.00017	3.4e-05
6.5	0.00014	2.8e-05
6	0.00011	2.2e-05
5.5	8.1e-05	1.6e-05
5	5.7e-05	1.1e-05
4.5	3.8e-05	7.5e-06
4	2.3e-05	4.6e-06
3.5	1.6e-05	3.1e-06
3	1.2e-05	2.4e-06
2.5	8.2e-06	1.6e-06
2	3.6e-06	7.2e-07
1.5	9.6e-08	1.9e-08
1	4.7e-09	9.5e-10
0.5	1.2e-10	2.4e-11

Energy	12C	%unc
10	0	0
9.5	0	0
9	0	0
8.5	0	0
8	0	0
7.5	0	0
7	0	0
6.5	0	0
6	0	0
5.5	0	0
5	0	0
4.5	0	0
4	0	0
3.5	0	0
3	0	0
2.5	0	0
2	0	0
1.5	0	0
1	0	0
0.5	0	0

Energy	29Si	%unc
10	2.9e-05	5.9e-06
9.5	2.5e-05	4.9e-06
9	2.1e-05	4.2e-06
8.5	1.7e-05	3.4e-06
8	1.3e-05	2.6e-06
7.5	9.8e-06	2e-06
7	6.7e-06	1.3e-06
6.5	4.9e-06	9.8e-07
6	3.2e-06	6.5e-07
5.5	1.5e-06	3.1e-07
5	7.9e-07	1.6e-07
4.5	3.1e-07	6.2e-08
4	1.1e-07	2.2e-08
3.5	4.6e-08	9.3e-09
3	2.5e-11	5.1e-12
2.5	5e-12	9.9e-13
2	5.6e-13	1.1e-13
1.5	0	0
1	0	0
0.5	0	0

Energy	23Na	%unc
10	6.5e-05	1.3e-05
9.5	5.3e-05	1.1e-05
9	4.2e-05	8.4e-06
8.5	3.3e-05	6.6e-06
8	2.5e-05	5e-06
7.5	1.8e-05	3.7e-06
7	1.3e-05	2.5e-06
6.5	8.1e-06	1.6e-06
6	4.8e-06	9.5e-07
5.5	2.6e-06	5.2e-07
5	1.2e-06	2.3e-07
4.5	3.6e-07	7.2e-08
4	4.3e-08	8.6e-09
3.5	1.4e-10	2.7e-11
3	0	0
2.5	0	0
2	0	0
1.5	0	0
1	0	0
0.5	0	0

Energy	17O	%unc
10	0.00011	2.2e-05
9.5	9.3e-05	1.9e-05
9	7.8e-05	1.6e-05
8.5	6.5e-05	1.3e-05
8	5.4e-05	1.1e-05
7.5	4.4e-05	8.9e-06
7	3.5e-05	7.1e-06
6.5	2.7e-05	5.5e-06
6	2e-05	4e-06
5.5	1.4e-05	2.7e-06
5	9.1e-06	1.8e-06
4.5	6.4e-06	1.3e-06
4	3.9e-06	7.8e-07
3.5	1.6e-06	3.2e-07
3	5.1e-07	1e-07
2.5	1.8e-07	3.6e-08
2	2.3e-08	4.5e-09
1.5	9.2e-10	1.8e-10
1	1.3e-11	2.7e-12
0.5	0	0

Energy	6Li	%unc
10	2.5e-05	5e-06
9.5	1.9e-05	3.8e-06
9	1.3e-05	2.6e-06
8.5	8.2e-06	1.6e-06
8	4.6e-06	9.1e-07
7.5	1.8e-06	3.5e-07
7	2.4e-07	4.7e-08
6.5	1.9e-16	3.8e-17
6	0	0
5.5	0	0
5	0	0
